date,directional_sentiment
2024-10-18,-1
2024-10-18,0
2024-10-18,0
2024-10-19,0
2024-10-22,0
2024-10-22,0
2024-10-22,0
2024-10-22,1
2024-10-22,1
2024-10-22,1
2024-10-22,0
2024-10-22,0
2024-10-23,0
2024-10-23,0
2024-10-24,1
2024-10-25,-1
2024-10-26,0
2024-10-28,0
2024-10-29,-1
2024-10-29,0
2024-10-30,-1
2024-11-01,1
2024-11-01,0
2024-11-04,-1
2024-11-05,0
2024-11-12,0
2024-11-12,-1
2024-11-13,0
2024-11-14,0
2024-11-14,0
2024-11-15,-1
2024-11-15,1
2024-11-19,0
2024-11-19,0
2024-11-20,0
2024-11-21,0
2024-11-21,0
2024-11-21,0
2024-11-22,0
2024-11-23,1
2024-11-23,0
2024-11-24,0
2024-11-25,0
2024-11-26,0
2024-11-26,-1
2024-11-27,0
2024-11-27,0
2024-11-27,0
2024-11-29,0
2024-11-30,0
2024-12-03,0
2024-12-03,0
2024-12-04,0
2024-12-05,0
2024-12-05,0
2024-12-06,0
2024-12-10,1
2024-12-10,0
2024-12-10,-1
2024-12-10,0
2024-12-11,0
2024-12-11,0
2024-12-12,0
2024-12-14,0
2024-12-14,-1
2024-12-16,1
2024-12-18,0
2024-12-19,0
2024-12-21,-1
2024-12-22,0
2024-12-23,0
2024-12-24,0
2024-12-24,-1
2024-12-25,0
2024-12-29,0
2025-01-03,-1
2025-01-03,0
2025-01-04,1
2025-01-06,1
2025-01-07,-1
2025-01-07,0
2025-01-08,0
2025-01-08,0
2025-01-10,1
2025-01-13,0
2025-01-13,0
2025-01-14,0
2025-01-14,0
2025-01-14,-1
2025-01-14,0
2025-01-15,0
2025-01-15,-1
2025-01-15,0
2025-01-16,0
2025-01-16,1
2025-01-20,0
2025-01-21,0
2025-01-22,0
2025-01-22,0
2025-01-23,-1
2025-01-24,0
2025-01-25,0
2025-01-26,1
2025-01-29,-1
2025-01-29,0
2025-01-29,0
2025-01-29,0
2025-01-29,0
2025-01-29,0
2025-01-29,0
2025-01-29,-1
2025-01-29,0
2025-01-30,-1
2025-01-30,0
2025-01-30,-1
2025-01-30,0
2025-01-31,-1
2025-02-01,-1
2025-02-04,-1
2025-02-04,-1
2025-02-04,0
2025-02-04,0
2025-02-05,1
2025-02-05,1
2025-02-06,0
2025-02-06,-1
2025-02-06,1
2025-02-07,1
2025-02-07,0
2025-02-09,0
2025-02-10,0
2025-02-11,0
2025-02-12,-1
2025-02-12,1
2025-02-13,1
2025-02-13,-1
2025-02-14,0
2025-02-15,1
2025-02-17,0
2025-02-17,0
2025-02-17,1
2025-02-17,0
2025-02-17,0
2025-02-17,0
2025-02-19,0
2025-02-19,-1
2025-02-21,0
2025-02-21,0
2025-02-21,1
2025-02-22,0
2025-02-23,1
2025-02-24,1
2025-02-24,-1
2025-02-25,0
2025-02-25,-1
2025-02-25,0
2025-02-25,1
2025-02-26,0
2025-02-26,1
2025-02-27,-1
2025-03-01,-1
2025-03-04,0
2025-03-05,0
2025-03-05,0
2025-03-07,0
2025-03-07,0
2025-03-08,-1
2025-03-10,1
2025-03-11,-1
2025-03-11,0
2025-03-11,1
2025-03-12,-1
2025-03-12,-1
2025-03-13,0
2025-03-14,0
2025-03-15,1
2025-03-15,-1
2025-03-15,1
2025-03-20,0
2025-03-20,-1
2025-03-21,0
2025-03-22,1
2025-03-22,0
2025-03-23,-1
2025-03-25,1
2025-03-25,1
2025-03-26,0
2025-03-27,-1
2025-03-30,1
2025-03-30,0
2025-03-31,0
2025-03-31,1
2025-04-02,0
2025-04-02,0
2025-04-03,1
2025-04-04,1
2025-04-04,1
2025-04-06,-1
2025-04-09,1
2025-04-10,1
2025-04-11,-1
2025-04-11,-1
2025-04-14,0
2025-04-15,1
2025-04-15,-1
2025-04-16,0
