date,headline,source,summary
2024-10-18,Billionaire Says Global Conditions Are Treacherous And Getting Worse: Our Approach,SeekingAlpha,JPMorgan Chase CEO Jamie Dimon emphasized tremendous geopolitical risks facing the economy and market. Find out what strategies to consider for your portfolio.
2024-10-19,2 Incredibly Cheap and Reliable Dividend Stocks With Yields Up to 5.5% to Buy Now,Yahoo,"If you are looking for dividends that keep flowing no matter what the energy market brings, these two stocks are right for you."
2024-10-22,Brookfield Renewable: Excellent Outlook For This High-Yielder,SeekingAlpha,Brookfield Renewable Partners is a top-tier investment in the renewable energy sector with a growing dividend and valuable assets. Click for my BEP update.
2024-10-25,Two Strategic Dividend Picks: One For Dividend Income And One For Dividend Growth,SeekingAlpha,I have added Brookfield Renewable Partners and Linde to The Dividend Income Accelerator Portfolio. Learn more about the portfolio here.
2024-10-25,PID: Mostly Canadian Dividend Growth ETF,SeekingAlpha,Invesco International Dividend Achievers ETF includes 50 top international stocks. See how PID ETF stands up compared to other investment options.
2024-10-25,Brookfield Renewable Preferreds Offer A Great Yield To Likely Redemption,SeekingAlpha,"Analyzing Brookfield Renewables growth and valuations, with a recommendation for conservative investors on preferred shares."
2024-10-26,7 Stocks Im Buying As Recession Fears Fade And Trump Victory Odds Rise,SeekingAlpha,Assessing the reasons for the recent rise in the 10-year Treasury rate. Check out 7 stocks that Im buying as recession fears fade.
2024-10-30,Brookfield Acquires Share of Four UK Offshore Wind Farms from Ørsted,Yahoo,"Two leading renewable energy players partner on operational U.K. offshore wind farms. Brookfield to acquire a 12.45% stake in 3.5 GW offshore wind portfolio under long-term contracts LONDON, Oct. 30, 2024 (GLOBE NEWSWIRE) -- Ørsted (CPH: ORSTED) has signed a partnership agreement with Brookfield (NYSE: BAM, TSX: BAM), its institutional partners and its listed affiliate Brookfield Renewable (NYSE: BEP, BEPC; TSX: BEP.UN, BEPC), who will acquire 12.45% minority stakes in four of Ørsted’s operation"
2024-11-07,Kimbell Royalty (KRP) Beats Q3 Earnings and Revenue Estimates,Yahoo,"Kimbell Royalty (KRP) delivered earnings and revenue surprises of 4.76% and 5.18%, respectively, for the quarter ended September 2024. Do the numbers hold clues to what lies ahead for the stock?"
2024-11-10,This 4.5%-Yielding Dividend Stock Continues to Deliver Powerful Growth,Yahoo,Brookfield Renewable expects to continue generating high-powered earnings growth.
2024-11-13,HealthEquity Announces Retirement of CEO Jon Kessler; Scott Cutler Appointed Successor,Yahoo,"DRAPER, Utah, Nov. 12, 2024 (GLOBE NEWSWIRE) -- HealthEquity, Inc. (NASDAQ: HQY) (“HealthEquity” or the “Company”), the nation’s largest health savings account (“HSA) custodian, today announced that after leading the company for more than 15 years, Jon Kessler, President and Chief Executive Officer, has decided to retire effective January 6, 2025. Mr. Kessler will remain a director and act a special advisor to the Company through April 30, 2025. To succeed Mr. Kessler, the Company announced the"
2024-11-14,"How To Build A $100,000 Dividend Portfolio: A Strategic Guide To Balance Income And Growth",SeekingAlpha,The portfolio effectively integrates the generation of dividend income with the potential for dividend growth. Read more to see my recommendations.
2024-11-18,Buy The Dip: 6-11% Yields For Growing Retirement Dividend Income,SeekingAlpha,The broader markets are soaring right now. Discover three top high-yield dividend growth stocks trading at discounted prices in the current market.
2024-11-21,Allocating $50K In A Dividend Portfolio: Enhancing SCHD With 10 High-Yield Picks,SeekingAlpha,Learn how to build a $50k dividend portfolio by enhancing Schwab U.S. Dividend Equity ETF with Novembers top 10 high dividend yield picks. Click for more on SCHD.
2024-11-21,2 High-Yield Dividend Stocks You Can Buy and Hold for a Decade,Yahoo,"Dividend stocks can be phenomenal long-term investments.  For example, a stock delivering a 10% annual total return can double your money every seven years.  Brookfield Renewable (NYSE: BEPC)(NYSE: BEP) and Enbridge (NYSE: ENB) are great stocks for those seeking a high dividend yield."
2024-11-23,1 Ultra-High-Yield Dividend Stock (I Just Bought) That You Can Buy and Hold for a Decade,Yahoo,"Mr. Market, a construct of the famous value investor Benjamin Graham, is a fickle individual.  When shopping for potential investments, I occasionally get access to the attractive price, which is what happened with my investment in WEC Energy (NYSE: WEC).  The yield, the history of dividend growth, and the opportunity presented by the utilitys ongoing shift toward cleaner energy was more than enough to get me in the door."
2024-11-28,"Brookfield Corporation: Still A Complex, Misunderstood, And Undervalued Company",SeekingAlpha,"Since we invested, Brookfield has gone from strength to strength. Heres our written update on BN stock. "
2024-12-15,Very Bad News For Utilities Stocks,SeekingAlpha,Explore the recent pullback in the utilities sector driven by falling interest rates and AI demand.
2024-12-17,Want Decades of Passive Income? 3 High Yield Energy Stocks to Buy Right Now,Yahoo,"If theres one theme in the energy sector that has gotten plenty of attention over the years, it is the global transition from dirty carbon fuels to cleaner alternatives.  It is a very real phenomenon, though it is happening much more slowly than clean energy proponents would like.  Heres why Enbridge (NYSE: ENB), TotalEnergies (NYSE: TTE), and Brookfield Renewable (NYSE: BEP)(NYSE: BEPC) are three interesting stocks to examine right now given this heightened interest, especially if you are looking to build a passive income stream in the energy sector that will last for decades into the future."
2024-12-18,Billionaire Bill Ackman Has 45% of His Hedge Funds $13.4 Billion Portfolio Invested in Just 3 Stocks,Yahoo,The billionaire activist investor has made some big moves in his portfolio recently.
2024-12-20,"NMAI: Very Attractive Yield, If It Is Sustainable",SeekingAlpha,"Is NMAI a good investment? High yield, flexible strategy, but concerns over distribution sustainability and current valuation. Click here for more on NMAI."
2024-12-22,3 Top High-Yield Stocks to Buy Before 2024 Is Over,Yahoo,"The dividend yield on the average stock has fallen over the past year due to the surge in the stock market.  For example, the S&P 500s dividend yield has declined from 1.6% a year ago to around 1.2% these days, which is near its lowest level in over 20 years.  Enterprise Products Partners (NYSE: EPD), Clearway Energy (NYSE: CWEN)(NYSE: CWEN.A), and Brookfield Renewable (NYSE: BEP)(NYSE: BEPC) stand out to a few Fool.com contributors as great stocks to buy as we head into the new year."
2024-12-23,Volatile Week To Finish Up The Last Monthly Options Expiration Of 2024,SeekingAlpha,Explore the volatility of the financial market during the last monthly options expiration of 2024 and the impact on options trades. Click for our income strategy.
2024-12-26,"How To Build A Strategically Balanced $50,000 Dividend Portfolio To Be Well-Positioned For 2025",SeekingAlpha,"Learn how to build a $50,000 dividend portfolio to position yourself well for 2025 with a focus on dividend income, growth, and diversification."
2024-12-28,2 High Yield Bargains That Are Worth Including In A Retirement Portfolio,SeekingAlpha,Discover two income investing picks with durable income streams and potential for upside gains to help you meet your financial objectives.
2025-01-03,Buy The Dip 2: Dividend Stocks Getting Way Too Cheap,SeekingAlpha,Discover why the dip in dividend stocks is being considered a Christmas gift by investors and find out about two top picks to buy today. Click for our choices.
2025-01-06,"A High-Yield, High-Growth Portfolio For Financial Independence And Early Retirement",SeekingAlpha,"Financial Independence, Retire Early movement has become popular with many. Check out a diversified portfolio of high-yield, high-growth stocks to achieve that."
2025-01-10,"Strategically Building A $10,000 Dividend Portfolio: Realty Income As Its Core Position",SeekingAlpha,"Learn how holding Realty Income as the largest position in your $10,000 dividend portfolio can reduce risk and maximize income and growth. Read more here."
2025-01-14,ClearBridge Canadian Equity Strategy Q4 2024 Commentary,SeekingAlpha,"During the fourth quarter, the ClearBridge Canadian Equity Strategy underperformed its S&P/TSX benchmark. Read more here."
2025-01-18,NextEra Energy Partners: A New Major Problem Has Just Emerged,SeekingAlpha,Learn why NEP may cut its distribution and the bigger problem its facing.
2025-01-20,Brookfield Renewable: Bonds Offer 7.3% Yield For 63 Cents On The Dollar,SeekingAlpha,"Learn about the recent selloff of Brookfield Renewables 4.625% notes, offering a high yield and strong growth potential in the renewable energy sector."
2025-01-20,"Brookfield Renewable Partners: Chase The Yield, And The Growth",SeekingAlpha,Brookfield Renewable Partners benefits from AI-driven electricity demand and renewables growth. Learn why BEP stock is undervalued and has a solid entry point.
2025-01-28,Prospect Capital: 8.9% On Bonds With Heavy Insider Buys,SeekingAlpha,"S&P downgraded PSECs credit rating to junk due to portfolio turbulence and liquidity pressures, impacting its ability to raise equity funding. Yet insider buying has been extremely strong."
2025-01-31,Brookfield Renewable Partners L.P. Limited Partnership Units (BEP) Q4 2024 Earnings Call Transcript,SeekingAlpha,"Brookfield Renewable Partners L.P. Limited Partnership Units (NYSE:BEP) Q4 2024 Earnings Conference Call January 31, 2025 8:30 AM ETCompany..."
2025-02-07,Brookfield Corporation: Trump Administrations Priorities Match Bullish Sentiment,SeekingAlpha,"Brookfield Corporation trades reasonably cheaply compared to distributable earnings, is growing, and faces a permissive M&A environment. See why BN stock is a Buy."
2025-02-10,3 Top Dividend Stocks You Shouldnt Hesitate to Buy This February,Yahoo,"Dividend stocks can be terrific investments.  The best ones provide investors with passive income and upside potential.  Over the last 50 years, dividend stocks have outperformed non-payers by more than 2-to-1, according to data from Hartford Funds and Ned Davis Research."
2025-02-11,Buy The Dip: High-Conviction High-Yields Getting Way Too Cheap,SeekingAlpha,"Due to concerns over rising long-term interest rates, there are currently several high-quality, high-yield businesses. Click to read more about high-yield stocks."
2025-02-14,Brookfield Renewable Partners price target raised to $29 from $28 at Scotiabank,Yahoo,"Scotiabank analyst Robert Hope raised the firm’s price target on Brookfield Renewable Partners (BEP) to $29 from $28 and keeps an Outperform rating on the shares. The firm is introducing its 2027 estimates for its Canadian energy infrastructure coverage and providing perspectives on its outlook for the space, the analyst tells investors. Tailwinds from power and natural gas demand are driving increased opportunities to put capital to work and there is an upward bias to its estimates longer-term"
2025-02-15,Want Decades of Passive Income? 2 Energy Stocks to Buy Right Now.,Yahoo,"The energy sector can be a great source of durable passive income if you know where to look.  While commodity price volatility can affect the cash flows of many energy companies, others have business models designed to mute the impact of that volatility on their earnings, so they can generate steadier cash flow to help support their growing dividends.  Enbridge (NYSE: ENB) and Brookfield Renewable (NYSE: BEPC)(NYSE: BEP) have been dividend stalwarts in the energy sector over the decades."
2025-02-18,The Market Is About To Flip: 3 AI-Driven Dividend Stocks Set To Soar,SeekingAlpha,"Discover three underrated, high-dividend stocks positioned to capitalize on AI demand and market shifts. Explore more details here."
2025-02-21,Dont Wait For A DOGE Dividend: Bet On Musks Team With These Stocks,SeekingAlpha,Discover how Elon Musks DOGE initiative could impact dividend stocks. Click here to read what investors need to know.
2025-02-23,Snowball Your Passive Income: 2 High-Yield Dividend Stocks With Significant Growth,SeekingAlpha,Investing in dividend growth stocks is a great way to achieve financial independence. Read more to see my 2 high-yield dividend stock picks.
2025-03-01,Brookfield Renewable Completes Annual Filings,Yahoo,"BROOKFIELD, News, Feb. 28, 2025 (GLOBE NEWSWIRE) -- Brookfield Renewable (NYSE: BEP, BEPC; TSX: BEP.UN, BEPC) announced today the filing of its 2024 annual reports, including audited financial statements for the year ended December 31, 2024, on Forms 20-F with the SEC on EDGAR as well as with Canadian securities regulatory authorities on SEDAR+. These documents are available at bep.brookfield.com (or for Brookfield Renewable Corporation, at bep.brookfield.com/bepc), on SEC’s website at www.sec.g"
2025-03-02,Billionaire Bill Ackman Has 43% of His Hedge Funds $14.8 Billion Portfolio Invested in Just 3 Stocks,Yahoo,You can invest like Ackman. Here are his best ideas right now.
2025-03-14,2 Powerful Catalysts Are Emerging For Dividend Stocks: My Top Picks,SeekingAlpha,Discover why 2025 could be a goldmine for dividend investors.
2025-03-14,Brookfield Renewable Partners: Excellent High-Yield Investment,SeekingAlpha,"Brookfield Renewable Partners offers a 6.5% dividend yield, driven by AI demand and growth trends. Discover BEPâs strong growth, low valuation, and high yield."
2025-03-16,5 Dividend Stocks Yielding Over 5% to Buy Right Now,Yahoo,"The silver lining amid this sell-off is that dividend yields move in the opposite direction as stock prices.  Here are five high-quality dividend stocks that currently yield more than 5%, which you can confidently buy right now for a lucrative income stream.  Brookfield Renewable (NYSE: BEPC)(NYSE: BEP) currently yields 5.2%."
2025-03-18,Brookfield Asset Management: Market Correction Offers Another Opportunity To Buy This Business,SeekingAlpha,"Brookfield Asset Managements strong fundamentals, attractive valuation, and long-term growth prospects make it a compelling investment opportunity. See more."
2025-03-20,3 Brilliant High-Yield Energy Stocks to Buy Now and Hold for the Long Term,Yahoo,"Theres a new administration in Washington, D.C., and it has a short-term plan for the energy sector whose key goal is to quickly lower energy prices for consumers.  For energy stock dividend investors who want to buy now and hold for the long term, consider Chevron (NYSE: CVX), Enterprise Products Partners (NYSE: EPD), and Brookfield Renewable (NYSE: BEP)(NYSE: BEPC)."
2025-03-22,"Dividend Champion, Contender, And Challenger Highlights: Week Of March 23",SeekingAlpha,"Stay updated with weekly dividend activity for Champions, Contenders, and Challengers. Learn about changes, ex-dividend dates, and upcoming pay dates."
2025-04-01,These Ultra-High-Yielding Dividend Stocks Are No Joke,Yahoo,"You see a high dividend yield on a stock and believe you can make a lot of passive income.  Realty Income (NYSE: O), Brookfield Renewable (NYSE: BEPC)(NYSE: BEP), and Verizon (NYSE: VZ) all currently pay dividends yielding more than 5%, putting them several times higher than the S&P 500s (SNPINDEX: ^GSPC) 1.3% yield.  Because of that, you can confidently buy these dividend stocks without the fear of eventually looking like a fool for falling for a trap."
2025-04-09,3 Top Dividend Stocks to Buy and Hold for the Next 20 Years,Yahoo,"Dividend stocks are great long-term investments.  Brookfield Renewable (NYSE: BEPC)(NYSE: BEP), Realty Income (NYSE: O), and Medtronic (NYSE: MDT) have multi-decade histories of increasing their dividends."
2025-04-09,Is Brookfield Renewable Corporation (BEPC) the Best Clean Energy Stock to Buy According to Billionaires?,Yahoo,"We recently published a list of the 10 Best Clean Energy Stocks to Buy According to Billionaires. In this article, we are going to take a look at where Brookfield Renewable Corporation (NYSE:BEPC) stands against other top clean energy stocks according to billionaires. The current overall bearish trend has also dealt a massive blow to […]"
2025-04-16,3 Dividend Stocks Yielding Over 4% to Buy in April,Yahoo,"Many growth-focused companies dont pay dividends at all, which is why the yield on the S&P 500 (SNPINDEX: ^GSPC) has fallen to just 1.4%.  Stocks with reliable dividends and high yields can be excellent ways to collect passive income no matter what the broader market is doing.  Heres why these three fool.com contributors think Chevron (NYSE: CVX), Brookfield Renewable Partners (NYSE: BEP) (NYSE: BEPC), and MSC Industrial Direct (NYSE: MSM) are three high-yield dividend stocks to buy now."
2025-04-23,3 No-Brainer Energy Stocks to Buy Right Now,Yahoo,"Demand drivers such as artificial inteligence (AI) data centers, the onshoring of manufacturing, and the electrification of everything will power a 55% surge in electricity demand by 2040, according to some estimates.  Given the continued concerns surrounding climate change, this power will need to come from cleaner sources, including renewables, natural gas, and nuclear.  This forecast makes energy companies focused on supporting growing electricity demand look like no-brainer investments right now."
2025-04-26,3 Megatrends Are Creating A Once-In-A-Generation Boom For Infrastructure Stocks,SeekingAlpha,"Markets are volatile, but infrastructure shines under todayâs macro conditions. See which stocks picked offer lasting dividend growth and real wealth."
2025-04-27,"The More It Underperforms, The More I Buy",SeekingAlpha,Recent sector surges hide undervalued stocks with major upside potential. Check out why these market laggards are great buys today.
2025-04-29,Top Wind Energy Stocks to Add to Your Portfolio for Solid Returns,Yahoo,"Leading wind energy stocks like EXC, BEP, AES and PCG present compelling opportunities, given their strong foothold in the market and focus on expansion."
