week,Final_Sentiment,Num_News,Avg_Relevance,Avg_Trustfulness,Avg_Directional,Start_Date,End_Date
2024-10-14/2024-10-20,0.006,3,0.1,0.4667,0.0,2024-10-18,2024-10-20
2024-10-21/2024-10-27,0.0608,138,0.2937,0.3145,0.4203,2024-10-21,2024-10-26
2024-10-28/2024-11-03,0.3819,6,0.54,0.7167,1.0,2024-10-30,2024-11-03
2024-11-04/2024-11-10,0.0452,163,0.6021,0.5945,0.1411,2024-11-04,2024-11-10
2024-11-11/2024-11-17,0.0036,5,0.108,0.6,0.4,2024-11-11,2024-11-15
2024-11-18/2024-11-24,0.1154,164,0.2165,0.5866,0.6037,2024-11-18,2024-11-23
2024-11-25/2024-12-01,0.0168,76,0.1337,0.3658,0.0921,2024-11-25,2024-12-01
2024-12-02/2024-12-08,0.0131,12,0.2467,0.5917,0.4167,2024-12-03,2024-12-08
2024-12-09/2024-12-15,0.0947,5,0.256,0.4,0.0,2024-12-09,2024-12-15
2024-12-16/2024-12-22,0.1009,65,0.3491,0.5923,0.3692,2024-12-17,2024-12-22
2024-12-23/2024-12-29,0.1003,76,0.2672,0.4447,0.5,2024-12-23,2024-12-29
2024-12-30/2025-01-05,0.089,60,0.3977,0.6,0.4667,2024-12-31,2025-01-05
2025-01-06/2025-01-12,0.1326,10,0.372,0.5,0.4,2025-01-06,2025-01-12
2025-01-13/2025-01-19,0.0018,11,0.1145,0.3,0.7273,2025-01-14,2025-01-19
2025-01-20/2025-01-26,0.0617,15,0.38,0.3,0.9333,2025-01-20,2025-01-25
2025-01-27/2025-02-02,0.1858,155,0.3921,0.4677,0.5871,2025-01-28,2025-02-02
2025-02-03/2025-02-09,0.1011,52,0.3483,0.6846,0.4615,2025-02-05,2025-02-07
2025-02-10/2025-02-16,0.3613,34,0.3106,0.55,0.8824,2025-02-10,2025-02-16
2025-02-17/2025-02-23,-0.0158,13,0.2062,0.4538,-0.0769,2025-02-17,2025-02-23
2025-02-24/2025-03-02,0.3446,42,0.3871,0.7048,0.9524,2025-02-25,2025-03-02
2025-03-03/2025-03-09,0.0025,2,0.09,0.55,1.0,2025-03-05,2025-03-07
2025-03-10/2025-03-16,0.2311,37,0.3638,0.3811,1.0,2025-03-10,2025-03-16
2025-03-17/2025-03-23,0.1122,20,0.309,0.4,0.75,2025-03-18,2025-03-23
2025-03-24/2025-03-30,0.4209,10,0.2,0.35,0.6,2025-03-24,2025-03-27
2025-03-31/2025-04-06,0.1933,37,0.3146,0.6649,0.7568,2025-04-01,2025-04-06
2025-04-07/2025-04-13,0.3324,10,0.534,0.8,0.9,2025-04-08,2025-04-11
2025-04-14/2025-04-20,0.2765,28,0.3111,0.6393,1.0,2025-04-16,2025-04-18
2025-04-21/2025-04-27,0.0761,20,0.204,0.525,0.95,2025-04-21,2025-04-27
2025-04-28/2025-05-04,0.086,115,0.6118,0.6957,0.2261,2025-04-28,2025-05-02
2025-05-05/2025-05-11,0.314,12,0.6317,0.5917,0.8333,2025-05-05,2025-05-08
2025-05-12/2025-05-18,0.3314,3,0.33,0.6333,1.0,2025-05-13,2025-05-16
2025-05-19/2025-05-25,0.0059,3,0.12,0.4667,0.3333,2025-05-19,2025-05-24
2025-05-26/2025-06-01,0.0977,30,0.351,0.4833,0.3333,2025-05-27,2025-06-01
2025-06-02/2025-06-08,0.0487,127,0.3789,0.5992,0.2047,2025-06-02,2025-06-06
2025-06-09/2025-06-15,0.2733,37,0.3681,0.7324,0.7027,2025-06-09,2025-06-14
2025-06-16/2025-06-22,0.2741,11,0.5127,0.7545,0.8182,2025-06-16,2025-06-22
2025-06-23/2025-06-29,0.0588,30,0.3547,0.45,0.3,2025-06-23,2025-06-26
2025-06-30/2025-07-06,0.0,2,0.3,0.55,0.0,2025-06-30,2025-07-05
2025-07-07/2025-07-13,0.0009,11,0.1145,0.3,0.4545,2025-07-07,2025-07-12
2025-07-14/2025-07-20,0.0976,11,0.3164,0.3909,0.9091,2025-07-15,2025-07-19
2025-07-21/2025-07-27,0.1378,11,0.3818,0.5273,0.4545,2025-07-21,2025-07-26
2025-07-28/2025-08-03,0.1363,47,0.6949,0.6298,0.3404,2025-07-29,2025-08-03
2025-08-04/2025-08-10,0.0,9,0.68,0.5778,0.0,2025-08-05,2025-08-07
2025-08-11/2025-08-17,0.0,2,0.09,0.3,0.0,2025-08-13,2025-08-14
2025-08-18/2025-08-24,0.1351,9,0.4,0.5222,0.4444,2025-08-19,2025-08-23
2025-08-25/2025-08-31,0.058,17,0.2682,0.3294,0.6471,2025-08-26,2025-08-29
2025-09-01/2025-09-07,0.0,3,0.08,0.3,0.0,2025-09-04,2025-09-06
2025-09-08/2025-09-14,0.0,10,0.24,0.5,0.0,2025-09-09,2025-09-12
2025-09-15/2025-09-21,0.0012,2,0.12,0.3,0.5,2025-09-19,2025-09-20
2025-09-22/2025-09-28,0.0351,31,0.3474,0.4452,0.3548,2025-09-22,2025-09-28
2025-09-29/2025-10-05,0.0924,1,0.75,0.3,1.0,2025-10-02,2025-10-02
2025-10-06/2025-10-12,0.0,9,0.0933,0.3,0.0,2025-10-06,2025-10-09
