week,Final_Sentiment,Num_News,Avg_Relevance,Avg_Trustfulness,Avg_Directional,Start_Date,End_Date
2024-10-14/2024-10-20,0.1865,17,0.5165,0.6824,0.4118,2024-10-18,2024-10-20
2024-10-21/2024-10-27,-0.0674,129,0.3433,0.6969,-0.1085,2024-10-21,2024-10-27
2024-10-28/2024-11-03,-0.1302,1233,0.7457,0.6028,-0.3633,2024-10-30,2024-11-01
2024-11-04/2024-11-10,-0.0218,802,0.2436,0.8298,-0.2718,2024-11-04,2024-11-10
2024-11-11/2024-11-17,0.0415,18,0.3311,0.5611,0.6667,2024-11-12,2024-11-16
2024-11-18/2024-11-24,0.029,30,0.5467,0.8,0.3333,2024-11-18,2024-11-23
2024-11-25/2024-12-01,-0.3029,21,0.3914,0.4952,-0.381,2024-11-27,2024-11-29
2024-12-02/2024-12-08,0.174,39,0.4962,0.6077,0.6667,2024-12-03,2024-12-07
2024-12-09/2024-12-15,0.1906,12,0.4125,0.775,0.6667,2024-12-09,2024-12-14
2024-12-16/2024-12-22,0.0416,14,0.4143,0.6286,0.3571,2024-12-16,2024-12-20
2024-12-23/2024-12-29,0.0078,14,0.2443,0.8429,0.0714,2024-12-23,2024-12-27
2024-12-30/2025-01-05,0.1272,29,0.4228,0.8345,0.2414,2024-12-30,2025-01-04
2025-01-06/2025-01-12,0.0595,4,0.41,0.875,0.25,2025-01-07,2025-01-09
2025-01-13/2025-01-19,0.0739,11,0.4109,0.4091,0.4545,2025-01-13,2025-01-17
2025-01-20/2025-01-26,0.103,3,0.66,0.3333,1.0,2025-01-21,2025-01-25
2025-01-27/2025-02-02,-0.1311,16,0.415,0.625,0.0,2025-01-28,2025-01-30
2025-02-03/2025-02-09,0.1453,16,0.3,0.775,1.0,2025-02-05,2025-02-07
2025-02-10/2025-02-16,-0.0656,6,0.48,0.9,-0.3333,2025-02-11,2025-02-14
2025-02-17/2025-02-23,0.0188,9,0.4478,0.5778,0.1111,2025-02-19,2025-02-21
2025-02-24/2025-03-02,0.2247,1714,0.809,0.6707,0.5018,2025-02-25,2025-03-01
2025-03-03/2025-03-09,0.1937,11,0.6727,0.6182,0.4545,2025-03-03,2025-03-07
2025-03-10/2025-03-16,-0.0622,2,0.41,0.8,0.0,2025-03-11,2025-03-15
2025-03-17/2025-03-23,-0.1221,29,0.509,0.8207,-0.4828,2025-03-17,2025-03-21
2025-03-24/2025-03-30,0.012,80,0.5137,0.6,0.0875,2025-03-25,2025-03-29
2025-03-31/2025-04-06,0.0161,97,0.3101,0.5948,0.2062,2025-04-01,2025-04-05
2025-04-07/2025-04-13,0.0828,84,0.3861,0.6524,0.4762,2025-04-07,2025-04-12
2025-04-14/2025-04-20,-0.1266,55,0.3942,0.8,-0.3273,2025-04-15,2025-04-18
2025-04-21/2025-04-27,0.1593,672,0.4093,0.8208,0.5223,2025-04-22,2025-04-27
2025-04-28/2025-05-04,-0.2079,2339,0.6792,0.7726,-0.4292,2025-04-28,2025-05-03
2025-05-05/2025-05-11,0.1463,94,0.4557,0.8064,0.617,2025-05-05,2025-05-10
2025-05-12/2025-05-18,0.1307,1636,0.4242,0.7956,0.4652,2025-05-13,2025-05-18
2025-05-19/2025-05-25,-0.1127,799,0.4823,0.7436,-0.4055,2025-05-20,2025-05-24
2025-05-26/2025-06-01,0.0205,82,0.4816,0.7451,0.1707,2025-05-26,2025-06-01
2025-06-02/2025-06-08,0.0547,342,0.4101,0.6947,0.1433,2025-06-02,2025-06-05
2025-06-09/2025-06-15,0.0771,122,0.4531,0.8082,0.2295,2025-06-09,2025-06-13
2025-06-16/2025-06-22,-0.0725,2295,0.3804,0.7522,-0.2497,2025-06-17,2025-06-22
2025-06-23/2025-06-29,0.1251,186,0.3655,0.7656,0.3763,2025-06-23,2025-06-28
2025-06-30/2025-07-06,0.0142,1317,0.3401,0.8023,0.0273,2025-06-30,2025-07-05
2025-07-07/2025-07-13,-0.0741,3151,0.3687,0.7908,-0.284,2025-07-07,2025-07-11
2025-07-14/2025-07-20,0.0945,143,0.5728,0.7685,0.1958,2025-07-14,2025-07-18
2025-07-21/2025-07-27,0.0,92,0.6135,0.8217,0.0,2025-07-22,2025-07-25
2025-07-28/2025-08-03,0.2824,1260,0.7779,0.81,0.5397,2025-07-28,2025-08-02
2025-08-04/2025-08-10,0.1691,203,0.3724,0.7315,0.4877,2025-08-05,2025-08-10
2025-08-11/2025-08-17,0.2007,324,0.5075,0.6068,0.608,2025-08-11,2025-08-16
2025-08-18/2025-08-24,0.1087,2622,0.2949,0.7715,0.2613,2025-08-18,2025-08-23
2025-08-25/2025-08-31,0.0041,10,0.681,0.75,0.1,2025-08-25,2025-08-29
2025-09-01/2025-09-07,0.2346,19,0.5147,0.5632,0.6842,2025-09-01,2025-09-06
2025-09-08/2025-09-14,0.4529,5,0.46,0.6,0.6,2025-09-08,2025-09-12
2025-09-15/2025-09-21,0.1716,39,0.4169,0.8,0.6667,2025-09-16,2025-09-19
2025-09-22/2025-09-28,-0.0495,12,0.16,0.7167,-0.1667,2025-09-22,2025-09-28
2025-09-29/2025-10-05,0.1968,7,0.5886,0.5857,0.7143,2025-09-29,2025-10-04
2025-10-06/2025-10-12,0.113,42,0.5379,0.7881,0.4524,2025-10-06,2025-10-11
