week,Final_Sentiment,Num_News,Avg_Relevance,Avg_Trustfulness,Avg_Directional,Start_Date,End_Date
2024-10-14/2024-10-20,0.2947,922,0.6498,0.7696,0.6161,2024-10-18,2024-10-19
2024-10-21/2024-10-27,-0.0527,49,0.3545,0.751,0.0612,2024-10-21,2024-10-25
2024-10-28/2024-11-03,0.0194,28,0.3771,0.7643,-0.0714,2024-10-28,2024-11-01
2024-11-04/2024-11-10,0.0379,12,0.1983,0.6417,0.1667,2024-11-06,2024-11-10
2024-11-11/2024-11-17,-0.0576,129,0.3135,0.5248,-0.3721,2024-11-12,2024-11-16
2024-11-18/2024-11-24,0.0,28,0.21,0.4786,0.0,2024-11-18,2024-11-20
2024-11-25/2024-12-01,0.0394,10,0.276,0.55,0.1,2024-11-26,2024-11-28
2024-12-02/2024-12-08,0.1564,66,0.4626,0.7455,0.4545,2024-12-03,2024-12-06
2024-12-09/2024-12-15,0.0012,12,0.27,0.6,0.1667,2024-12-09,2024-12-14
2024-12-16/2024-12-22,0.1248,44,0.285,0.5386,0.4091,2024-12-17,2024-12-20
2024-12-23/2024-12-29,-0.0145,29,0.2897,0.5931,0.2414,2024-12-23,2024-12-28
2024-12-30/2025-01-05,-0.0,28,0.5086,0.6214,0.0,2024-12-31,2025-01-03
2025-01-06/2025-01-12,0.0241,74,0.2511,0.7216,0.2162,2025-01-06,2025-01-09
2025-01-13/2025-01-19,0.0862,143,0.3496,0.4636,0.5524,2025-01-15,2025-01-19
2025-01-20/2025-01-26,0.0964,406,0.3927,0.5709,0.2537,2025-01-20,2025-01-25
2025-01-27/2025-02-02,0.0003,17,0.1906,0.3235,0.2353,2025-01-27,2025-01-30
2025-02-10/2025-02-16,0.115,3,0.2267,0.4667,0.3333,2025-02-11,2025-02-16
2025-02-17/2025-02-23,0.3666,17,0.5247,0.6824,0.2941,2025-02-19,2025-02-22
2025-02-24/2025-03-02,-0.2341,22,0.4686,0.6864,-0.6818,2025-02-25,2025-03-02
2025-03-03/2025-03-09,-0.0511,12,0.295,0.6917,-0.1667,2025-03-03,2025-03-09
2025-03-10/2025-03-16,-0.0828,33,0.2764,0.603,-0.0909,2025-03-10,2025-03-13
2025-03-17/2025-03-23,0.1244,129,0.4623,0.7884,0.3798,2025-03-18,2025-03-21
2025-03-24/2025-03-30,0.0925,23,0.4278,0.8,0.087,2025-03-24,2025-03-28
2025-03-31/2025-04-06,0.0934,139,0.3712,0.6813,0.446,2025-03-31,2025-04-06
2025-04-07/2025-04-13,0.2194,88,0.3543,0.8136,0.6364,2025-04-08,2025-04-12
2025-04-14/2025-04-20,0.2247,60,0.4725,0.8,0.6167,2025-04-14,2025-04-18
2025-04-21/2025-04-27,0.0897,2100,0.6965,0.8286,0.19,2025-04-21,2025-04-27
2025-04-28/2025-05-04,0.2692,170,0.5097,0.7141,0.5882,2025-04-28,2025-05-03
2025-05-05/2025-05-11,0.027,308,0.2283,0.6425,0.3896,2025-05-05,2025-05-11
2025-05-12/2025-05-18,-0.2223,31,0.5768,0.6774,-0.2903,2025-05-14,2025-05-17
2025-05-19/2025-05-25,0.2299,10,0.498,0.8,0.5,2025-05-22,2025-05-24
2025-05-26/2025-06-01,0.1201,29,0.3628,0.6276,0.4828,2025-05-27,2025-05-30
2025-06-02/2025-06-08,0.1641,15,0.3107,0.7067,0.6667,2025-06-02,2025-06-08
2025-06-09/2025-06-15,-0.264,329,0.6497,0.7343,-0.6565,2025-06-09,2025-06-14
2025-06-16/2025-06-22,0.0346,93,0.4884,0.8,0.0538,2025-06-17,2025-06-20
2025-06-23/2025-06-29,0.099,24,0.3492,0.7,0.5833,2025-06-24,2025-06-28
2025-06-30/2025-07-06,0.2186,40,0.5642,0.71,0.325,2025-06-30,2025-07-05
2025-07-07/2025-07-13,0.0927,25,0.5596,0.672,0.32,2025-07-08,2025-07-12
2025-07-14/2025-07-20,0.2295,33,0.6094,0.8,0.5758,2025-07-14,2025-07-17
2025-07-21/2025-07-27,0.0302,1478,0.623,0.7806,0.134,2025-07-21,2025-07-27
2025-07-28/2025-08-03,0.1748,182,0.3231,0.6929,0.5604,2025-07-28,2025-08-03
2025-08-04/2025-08-10,0.221,74,0.2889,0.6054,0.7703,2025-08-05,2025-08-10
2025-08-11/2025-08-17,0.3881,19,0.4663,0.6947,0.8947,2025-08-11,2025-08-17
2025-08-18/2025-08-24,0.0839,139,0.4343,0.6129,0.3165,2025-08-19,2025-08-22
2025-08-25/2025-08-31,0.0973,50,0.4246,0.8,0.26,2025-08-25,2025-08-30
2025-09-01/2025-09-07,0.0141,63,0.389,0.7286,0.2222,2025-09-03,2025-09-07
2025-09-08/2025-09-14,0.1035,78,0.3853,0.8,0.0513,2025-09-09,2025-09-13
2025-09-15/2025-09-21,0.2059,120,0.3829,0.6333,0.6583,2025-09-15,2025-09-21
2025-09-22/2025-09-28,0.2524,5,0.318,0.7,0.8,2025-09-22,2025-09-25
2025-09-29/2025-10-05,0.094,103,0.4898,0.7563,0.2718,2025-09-29,2025-10-03
2025-10-06/2025-10-12,0.2879,112,0.5046,0.8,0.6518,2025-10-06,2025-10-11
