week,Final_Sentiment,Num_News,Avg_Relevance,Avg_Trustfulness,Avg_Directional,Start_Date,End_Date
2024-10-14/2024-10-20,-0.0974,64,0.41,0.8,-0.25,2024-10-18,2024-10-18
2024-10-21/2024-10-27,0.0275,1370,0.5793,0.6964,0.1606,2024-10-21,2024-10-27
2024-10-28/2024-11-03,0.0199,1126,0.4138,0.6446,-0.048,2024-10-28,2024-11-03
2024-11-04/2024-11-10,0.0462,4403,0.5698,0.7342,0.1042,2024-11-04,2024-11-10
2024-11-11/2024-11-17,-0.0057,1403,0.2204,0.522,0.0513,2024-11-11,2024-11-16
2024-11-18/2024-11-24,0.0075,991,0.349,0.637,-0.0323,2024-11-18,2024-11-23
2024-11-25/2024-12-01,0.0205,3471,0.3281,0.6132,0.0908,2024-11-25,2024-11-29
2024-12-02/2024-12-08,-0.0065,2664,0.4426,0.6067,-0.0736,2024-12-02,2024-12-08
2024-12-09/2024-12-15,0.001,782,0.3857,0.5564,0.0691,2024-12-09,2024-12-15
2024-12-16/2024-12-22,-0.1336,9443,0.5661,0.6184,-0.3855,2024-12-16,2024-12-22
2024-12-23/2024-12-29,-0.0191,700,0.4892,0.7221,0.0186,2024-12-23,2024-12-29
2024-12-30/2025-01-05,-0.2136,185,0.499,0.7568,-0.5189,2024-12-30,2025-01-04
2025-01-06/2025-01-12,-0.0022,1777,0.5413,0.715,0.0219,2025-01-06,2025-01-11
2025-01-13/2025-01-19,-0.0195,41,0.2185,0.3,-0.0976,2025-01-13,2025-01-19
2025-01-20/2025-01-26,0.0,11,0.3527,0.3,0.0,2025-01-20,2025-01-26
2025-01-27/2025-02-02,0.0043,136,0.2471,0.3,0.1838,2025-01-28,2025-02-01
2025-02-03/2025-02-09,0.0648,226,0.472,0.3,0.6549,2025-02-05,2025-02-09
2025-02-10/2025-02-16,-0.0162,44,0.262,0.3,-0.3182,2025-02-10,2025-02-14
2025-02-17/2025-02-23,0.017,123,0.1646,0.3,-0.065,2025-02-17,2025-02-23
2025-02-24/2025-03-02,0.0061,169,0.209,0.3,0.2249,2025-02-24,2025-02-28
2025-03-03/2025-03-09,0.015,83,0.2173,0.3,0.3373,2025-03-03,2025-03-08
2025-03-10/2025-03-16,-0.0218,418,0.3521,0.477,0.0431,2025-03-10,2025-03-15
2025-03-17/2025-03-23,0.1109,1206,0.4062,0.5595,-0.0307,2025-03-17,2025-03-21
2025-03-24/2025-03-30,0.0263,66,0.2048,0.3,0.5,2025-03-24,2025-03-30
2025-03-31/2025-04-06,-0.0022,37,0.1297,0.3,0.6757,2025-03-31,2025-04-04
2025-04-07/2025-04-13,-0.0006,110,0.12,0.3,-0.2455,2025-04-07,2025-04-11
2025-04-14/2025-04-20,0.1099,699,0.4346,0.6791,0.3562,2025-04-14,2025-04-19
2025-04-21/2025-04-27,-0.1449,101,0.5349,0.7158,-0.3861,2025-04-21,2025-04-26
2025-04-28/2025-05-04,0.0479,136,0.5159,0.3,0.4118,2025-04-29,2025-05-03
2025-05-05/2025-05-11,0.0091,81,0.3072,0.3,0.0494,2025-05-05,2025-05-09
2025-05-12/2025-05-18,0.0304,49,0.3386,0.3,0.5306,2025-05-12,2025-05-18
2025-05-19/2025-05-25,0.0167,670,0.5635,0.6851,0.0299,2025-05-20,2025-05-25
2025-05-26/2025-06-01,0.0292,264,0.4037,0.7091,0.1136,2025-05-26,2025-05-31
2025-06-02/2025-06-08,0.0928,234,0.3786,0.6312,0.2393,2025-06-02,2025-06-08
2025-06-09/2025-06-15,0.0489,3379,0.4135,0.7142,0.1062,2025-06-09,2025-06-14
2025-06-16/2025-06-22,0.2172,660,0.5409,0.7811,0.6273,2025-06-16,2025-06-22
2025-06-23/2025-06-29,0.0222,7515,0.534,0.7405,0.0366,2025-06-23,2025-06-29
2025-06-30/2025-07-06,0.111,1086,0.4471,0.6775,0.221,2025-06-30,2025-07-06
2025-07-07/2025-07-13,0.0596,947,0.4226,0.6405,0.3939,2025-07-07,2025-07-13
2025-07-14/2025-07-20,0.1789,28,0.3225,0.6214,0.6786,2025-07-14,2025-07-15
2025-07-21/2025-07-27,0.0306,33,0.3224,0.3,0.3939,2025-07-21,2025-07-25
2025-07-28/2025-08-03,0.0301,111,0.3973,0.3,0.0811,2025-07-29,2025-08-03
2025-08-04/2025-08-10,-0.0106,134,0.4757,0.3,-0.0448,2025-08-04,2025-08-10
2025-08-11/2025-08-17,0.0009,103,0.5276,0.3,0.0194,2025-08-11,2025-08-16
2025-08-18/2025-08-24,-0.0971,3784,0.4072,0.7157,-0.3047,2025-08-18,2025-08-24
2025-08-25/2025-08-31,-0.0009,387,0.5316,0.5455,-0.0904,2025-08-27,2025-08-31
2025-09-01/2025-09-07,0.0854,1101,0.4573,0.7991,0.2398,2025-09-01,2025-09-06
2025-09-08/2025-09-14,-0.0294,2189,0.5525,0.6193,-0.0694,2025-09-08,2025-09-14
2025-09-15/2025-09-21,-0.0066,69,0.4717,0.3,-0.0435,2025-09-15,2025-09-21
2025-09-22/2025-09-28,-0.0118,3676,0.3047,0.7686,-0.0324,2025-09-22,2025-09-27
2025-09-29/2025-10-05,0.0534,144,0.3417,0.3,0.7708,2025-09-29,2025-10-05
2025-10-06/2025-10-12,0.1739,1215,0.5124,0.6663,0.4337,2025-10-06,2025-10-11
