week,Final_Sentiment,Num_News,Avg_Relevance,Avg_Trustfulness,Avg_Directional,Start_Date,End_Date
2024-10-14/2024-10-20,-0.004,21646,0.6398,0.6834,-0.0286,2024-10-18,2024-10-20
2024-10-21/2024-10-27,0.1207,81481,0.6524,0.6242,0.35,2024-10-23,2024-10-27
2024-10-28/2024-11-03,0.0501,62411,0.4664,0.7277,0.1492,2024-10-28,2024-11-03
2024-11-04/2024-11-10,0.023,242517,0.4147,0.7207,0.1191,2024-11-04,2024-11-10
2024-11-11/2024-11-17,0.0141,254204,0.3907,0.7107,0.0651,2024-11-11,2024-11-17
2024-11-18/2024-11-24,0.0437,175720,0.479,0.7446,0.1617,2024-11-18,2024-11-24
2024-11-25/2024-12-01,-0.0074,37904,0.4206,0.7136,-0.0229,2024-11-25,2024-12-01
2024-12-02/2024-12-08,0.0309,146677,0.4156,0.7451,0.1145,2024-12-02,2024-12-08
2024-12-09/2024-12-15,0.0672,181897,0.449,0.7307,0.2565,2024-12-09,2024-12-15
2024-12-16/2024-12-22,0.0039,171403,0.4443,0.7181,0.0189,2024-12-16,2024-12-22
2024-12-23/2024-12-29,0.0249,98941,0.4685,0.7406,0.0899,2024-12-23,2024-12-29
2024-12-30/2025-01-05,-0.0199,145058,0.5471,0.6841,-0.0517,2024-12-30,2025-01-05
2025-01-06/2025-01-12,-0.0051,153074,0.4681,0.6868,-0.0372,2025-01-06,2025-01-11
2025-01-13/2025-01-19,-0.0042,17785,0.32,0.6321,-0.0296,2025-01-13,2025-01-19
2025-01-20/2025-01-26,0.0166,20585,0.4225,0.6412,0.0721,2025-01-20,2025-01-26
2025-01-27/2025-02-02,0.0246,38621,0.619,0.4806,0.0807,2025-01-27,2025-02-02
2025-02-03/2025-02-09,-0.0594,56195,0.3587,0.645,-0.2556,2025-02-03,2025-02-09
2025-02-10/2025-02-16,-0.0397,21854,0.3847,0.7027,-0.1364,2025-02-10,2025-02-16
2025-02-17/2025-02-23,-0.0087,49850,0.4125,0.6455,-0.0835,2025-02-17,2025-02-23
2025-02-24/2025-03-02,-0.0391,56326,0.3548,0.635,-0.1918,2025-02-24,2025-03-02
2025-03-03/2025-03-09,-0.0508,31033,0.4153,0.6094,-0.2721,2025-03-03,2025-03-09
2025-03-10/2025-03-16,-0.0079,205774,0.3985,0.6342,-0.0476,2025-03-10,2025-03-16
2025-03-17/2025-03-23,-0.0459,127808,0.4372,0.6129,-0.2073,2025-03-17,2025-03-23
2025-03-24/2025-03-30,-0.0342,869384,0.4116,0.7156,-0.1566,2025-03-26,2025-03-30
2025-03-31/2025-04-06,-0.0959,527598,0.503,0.7172,-0.3164,2025-04-02,2025-04-06
2025-04-07/2025-04-13,-0.0393,248885,0.4339,0.7416,-0.1681,2025-04-07,2025-04-13
2025-04-14/2025-04-20,-0.0146,92447,0.4934,0.7671,-0.0577,2025-04-14,2025-04-19
2025-04-21/2025-04-27,0.0083,468906,0.5276,0.729,0.0325,2025-04-23,2025-04-27
2025-04-28/2025-05-04,-0.0222,329114,0.4486,0.6893,-0.1033,2025-04-28,2025-05-04
2025-05-05/2025-05-11,-0.0372,154682,0.4435,0.6588,-0.168,2025-05-05,2025-05-11
2025-05-12/2025-05-18,0.0124,192905,0.4352,0.7252,0.0422,2025-05-12,2025-05-18
2025-05-19/2025-05-25,0.0359,221048,0.4664,0.6881,0.1682,2025-05-19,2025-05-25
2025-05-26/2025-06-01,0.0145,245836,0.4977,0.7109,0.0536,2025-05-27,2025-06-01
2025-06-02/2025-06-08,-0.0619,1160347,0.4455,0.6913,-0.29,2025-06-05,2025-06-08
2025-06-09/2025-06-15,0.0076,440434,0.5141,0.7089,0.0317,2025-06-10,2025-06-15
2025-06-16/2025-06-22,0.0926,124311,0.5382,0.7542,0.3014,2025-06-16,2025-06-22
2025-06-23/2025-06-29,0.0167,247864,0.5097,0.7029,0.069,2025-06-24,2025-06-29
2025-06-30/2025-07-06,-0.0203,453461,0.5108,0.6397,-0.0809,2025-07-01,2025-07-06
2025-07-07/2025-07-13,0.0231,236569,0.4845,0.6987,0.1068,2025-07-07,2025-07-13
2025-07-14/2025-07-20,0.0404,136041,0.5126,0.6894,0.1118,2025-07-14,2025-07-20
2025-07-21/2025-07-27,0.0581,327571,0.552,0.6978,0.1615,2025-07-22,2025-07-27
2025-07-28/2025-08-03,0.0197,163616,0.4865,0.7381,0.0687,2025-07-28,2025-08-03
2025-08-04/2025-08-10,0.0406,247816,0.4777,0.7333,0.14,2025-08-04,2025-08-10
2025-08-11/2025-08-17,0.0592,139034,0.4785,0.7641,0.1933,2025-08-11,2025-08-17
2025-08-18/2025-08-24,0.0164,150307,0.4867,0.7713,0.0453,2025-08-18,2025-08-24
2025-08-25/2025-08-31,0.0425,86518,0.4555,0.7645,0.1777,2025-08-25,2025-08-31
2025-09-01/2025-09-07,0.095,72237,0.4833,0.7527,0.3642,2025-09-01,2025-09-06
2025-09-08/2025-09-14,0.0288,64291,0.4859,0.7519,0.1117,2025-09-08,2025-09-14
2025-09-15/2025-09-21,0.0592,281119,0.4561,0.7496,0.2521,2025-09-15,2025-09-21
2025-09-22/2025-09-28,0.0298,110450,0.4684,0.7721,0.1307,2025-09-22,2025-09-28
2025-09-29/2025-10-05,0.0347,192455,0.5047,0.7598,0.1138,2025-09-29,2025-10-05
2025-10-06/2025-10-12,0.1015,359307,0.515,0.7336,0.3638,2025-10-06,2025-10-12
