week,Final_Sentiment,Num_News,Avg_Relevance,Avg_Trustfulness,Avg_Directional,Start_Date,End_Date
2024-10-14/2024-10-20,0.2422,54,0.4833,0.7167,0.3333,2024-10-18,2024-10-19
2024-10-21/2024-10-27,0.1782,135,0.7222,0.6541,0.1333,2024-10-21,2024-10-26
2024-10-28/2024-11-03,0.5653,1763,0.7732,0.748,0.7425,2024-10-29,2024-11-01
2024-11-04/2024-11-10,0.0204,138,0.8,0.7478,0.0435,2024-11-04,2024-11-09
2024-11-11/2024-11-17,0.32,18,0.4444,0.6944,0.2778,2024-11-13,2024-11-17
2024-11-18/2024-11-24,0.0026,76,0.3092,0.5908,-0.1447,2024-11-18,2024-11-24
2024-11-25/2024-12-01,0.0518,33,0.8364,0.6909,0.0,2024-11-25,2024-11-30
2024-12-02/2024-12-08,-0.1829,13,0.4615,0.4308,-0.0769,2024-12-02,2024-12-08
2024-12-09/2024-12-15,0.1245,162,0.6574,0.6568,0.1481,2024-12-09,2024-12-14
2024-12-16/2024-12-22,0.1692,120,0.6608,0.7758,0.2167,2024-12-17,2024-12-22
2024-12-23/2024-12-29,0.1889,149,0.6638,0.7497,0.2483,2024-12-24,2024-12-28
2024-12-30/2025-01-05,0.056,120,0.635,0.5917,0.0167,2024-12-30,2025-01-04
2025-01-06/2025-01-12,0.2357,136,0.4926,0.5868,0.3676,2025-01-06,2025-01-11
2025-01-13/2025-01-19,0.0,51,0.2137,0.402,0.0,2025-01-14,2025-01-19
2025-01-20/2025-01-26,-0.0283,2746,0.7957,0.6812,-0.0361,2025-01-20,2025-01-26
2025-01-27/2025-02-02,0.0,3,0.2,0.5,0.0,2025-01-27,2025-02-01
2025-02-03/2025-02-09,0.3099,10,0.61,0.6,0.4,2025-02-04,2025-02-08
2025-02-10/2025-02-16,0.0,29,0.031,0.4862,-0.0345,2025-02-13,2025-02-16
2025-02-17/2025-02-23,0.1231,2,1.0,0.65,0.5,2025-02-20,2025-02-21
2025-02-24/2025-03-02,-0.102,27,0.3667,0.5,-0.3333,2025-02-27,2025-02-27
2025-03-03/2025-03-09,0.4335,18,0.4667,0.6,0.2222,2025-03-05,2025-03-08
2025-03-10/2025-03-16,-0.3632,1038,0.6493,0.7524,-0.474,2025-03-10,2025-03-16
2025-03-17/2025-03-23,0.0467,26,0.4423,0.55,0.1154,2025-03-17,2025-03-21
2025-03-24/2025-03-30,0.4801,477,0.7589,0.7966,0.6122,2025-03-24,2025-03-29
2025-03-31/2025-04-06,0.2967,159,0.7327,0.7069,0.3648,2025-03-31,2025-04-06
2025-04-07/2025-04-13,-0.0446,262,0.3935,0.8118,-0.1031,2025-04-07,2025-04-13
2025-04-14/2025-04-20,0.1844,10727,0.8004,0.7364,0.253,2025-04-14,2025-04-19
2025-04-21/2025-04-27,-0.0039,57,0.6895,0.8,0.0,2025-04-21,2025-04-27
2025-04-28/2025-05-04,0.5175,153,0.7562,0.802,0.6797,2025-04-28,2025-05-03
2025-05-05/2025-05-11,0.204,384,0.3734,0.6591,0.2109,2025-05-06,2025-05-10
2025-05-12/2025-05-18,0.2015,101,0.7535,0.6337,0.2673,2025-05-12,2025-05-17
2025-05-19/2025-05-25,0.4362,287,0.699,0.7028,0.5749,2025-05-19,2025-05-25
2025-05-26/2025-06-01,0.2901,151,0.6861,0.6046,0.4371,2025-05-26,2025-06-01
2025-06-02/2025-06-08,-0.2776,20,0.23,0.67,-0.2,2025-06-02,2025-06-07
2025-06-09/2025-06-15,0.6802,19,0.6316,0.6947,0.6842,2025-06-09,2025-06-13
2025-06-16/2025-06-22,0.2957,247,0.5785,0.7482,0.4939,2025-06-16,2025-06-21
2025-06-23/2025-06-29,0.3699,347,0.6231,0.7816,0.5447,2025-06-23,2025-06-28
2025-06-30/2025-07-06,0.075,385,0.4644,0.7675,0.1117,2025-06-30,2025-07-06
2025-07-07/2025-07-13,0.0694,248,0.2927,0.7274,0.0685,2025-07-07,2025-07-13
2025-07-14/2025-07-20,-0.4421,9378,0.8205,0.7812,-0.5158,2025-07-14,2025-07-19
2025-07-21/2025-07-27,0.009,357,0.6188,0.765,0.0756,2025-07-21,2025-07-26
2025-07-28/2025-08-03,0.0128,286,0.6269,0.6969,0.0175,2025-07-28,2025-08-01
2025-08-04/2025-08-10,0.0419,235,0.4626,0.6766,0.1617,2025-08-04,2025-08-09
2025-08-11/2025-08-17,0.2545,233,0.8494,0.7979,0.3391,2025-08-11,2025-08-16
2025-08-18/2025-08-24,0.1024,128,0.5578,0.7336,0.1016,2025-08-18,2025-08-23
2025-08-25/2025-08-31,0.0845,332,0.4979,0.681,0.2169,2025-08-25,2025-08-31
2025-09-01/2025-09-07,0.4459,202,0.6317,0.7975,0.5545,2025-09-01,2025-09-07
2025-09-08/2025-09-14,0.4162,46,0.7196,0.8,0.5652,2025-09-08,2025-09-13
2025-09-15/2025-09-21,0.0739,102,0.5275,0.7216,0.0686,2025-09-15,2025-09-21
2025-09-22/2025-09-28,0.1554,323,0.6941,0.7598,0.2167,2025-09-22,2025-09-28
2025-09-29/2025-10-05,0.3736,263,0.5806,0.8095,0.4373,2025-09-29,2025-10-04
2025-10-06/2025-10-12,0.348,475,0.6987,0.7337,0.4968,2025-10-06,2025-10-12
