week,Final_Sentiment,Num_News,Avg_Relevance,Avg_Trustfulness,Avg_Directional,Start_Date,End_Date
2024-10-14/2024-10-20,0.0914,10745,0.3944,0.6577,0.2957,2024-10-18,2024-10-20
2024-10-21/2024-10-27,0.174,55744,0.4976,0.681,0.4946,2024-10-22,2024-10-27
2024-10-28/2024-11-03,0.1226,426993,0.6402,0.7172,0.3,2024-10-28,2024-11-03
2024-11-04/2024-11-10,0.0763,315212,0.4531,0.6838,0.2424,2024-11-04,2024-11-10
2024-11-11/2024-11-17,0.0942,314049,0.4496,0.6592,0.3508,2024-11-11,2024-11-17
2024-11-18/2024-11-24,0.1209,236316,0.4298,0.6594,0.3994,2024-11-18,2024-11-24
2024-11-25/2024-12-01,0.1132,101143,0.4609,0.6058,0.3953,2024-11-25,2024-12-01
2024-12-02/2024-12-08,0.198,291420,0.5143,0.6578,0.6095,2024-12-02,2024-12-08
2024-12-09/2024-12-15,0.13,210809,0.406,0.6354,0.4718,2024-12-09,2024-12-15
2024-12-16/2024-12-22,0.0618,151880,0.431,0.6844,0.2216,2024-12-16,2024-12-22
2024-12-23/2024-12-29,0.1733,72726,0.4482,0.6705,0.5475,2024-12-23,2024-12-29
2024-12-30/2025-01-05,0.1129,14298,0.3682,0.7107,0.4088,2024-12-30,2025-01-05
2025-01-06/2025-01-12,0.1609,156542,0.4397,0.6953,0.518,2025-01-06,2025-01-12
2025-01-13/2025-01-19,0.0913,12746,0.2838,0.554,0.4194,2025-01-13,2025-01-19
2025-01-20/2025-01-26,0.1022,12899,0.3518,0.5268,0.3903,2025-01-20,2025-01-26
2025-01-27/2025-02-02,0.0451,14157,0.3065,0.4598,0.1832,2025-01-27,2025-02-02
2025-02-03/2025-02-09,-0.0298,83279,0.4353,0.6748,-0.0293,2025-02-03,2025-02-09
2025-02-10/2025-02-16,0.1261,16655,0.3457,0.5412,0.4402,2025-02-10,2025-02-16
2025-02-17/2025-02-23,0.0384,22624,0.2685,0.4966,0.1427,2025-02-17,2025-02-23
2025-02-24/2025-03-02,0.077,21368,0.2752,0.5032,0.2148,2025-02-24,2025-03-02
2025-03-03/2025-03-09,0.0464,15952,0.2929,0.5591,0.2365,2025-03-03,2025-03-09
2025-03-10/2025-03-16,0.0118,35435,0.2966,0.5555,0.0373,2025-03-10,2025-03-16
2025-03-17/2025-03-23,0.0127,33656,0.3283,0.5628,0.0269,2025-03-17,2025-03-23
2025-03-24/2025-03-30,0.1011,139093,0.4426,0.6845,0.3415,2025-03-24,2025-03-30
2025-03-31/2025-04-06,-0.0173,230755,0.4121,0.7138,-0.0387,2025-03-31,2025-04-06
2025-04-07/2025-04-13,-0.0109,212124,0.4998,0.7362,-0.0391,2025-04-07,2025-04-13
2025-04-14/2025-04-20,0.0346,19381,0.5205,0.7152,0.1565,2025-04-14,2025-04-20
2025-04-21/2025-04-27,0.0699,133529,0.4719,0.7447,0.2088,2025-04-21,2025-04-27
2025-04-28/2025-05-04,0.0127,478436,0.5525,0.6902,0.026,2025-04-29,2025-05-04
2025-05-05/2025-05-11,0.097,163172,0.429,0.6458,0.3118,2025-05-05,2025-05-11
2025-05-12/2025-05-18,0.0514,199272,0.4126,0.6452,0.1956,2025-05-12,2025-05-18
2025-05-19/2025-05-25,0.1112,113570,0.4195,0.6473,0.3097,2025-05-19,2025-05-25
2025-05-26/2025-06-01,0.0911,77844,0.4148,0.6637,0.316,2025-05-26,2025-06-01
2025-06-02/2025-06-08,0.1363,136328,0.4902,0.6883,0.4232,2025-06-02,2025-06-08
2025-06-09/2025-06-15,0.1127,119727,0.4735,0.6743,0.3538,2025-06-09,2025-06-15
2025-06-16/2025-06-22,0.1458,189143,0.5412,0.7282,0.3895,2025-06-16,2025-06-21
2025-06-23/2025-06-29,0.1455,231683,0.4543,0.7061,0.483,2025-06-23,2025-06-29
2025-06-30/2025-07-06,0.1137,303858,0.3938,0.7239,0.3784,2025-06-30,2025-07-06
2025-07-07/2025-07-13,0.0963,290022,0.4312,0.7324,0.3249,2025-07-07,2025-07-13
2025-07-14/2025-07-20,0.1365,175961,0.435,0.7191,0.4244,2025-07-14,2025-07-20
2025-07-21/2025-07-27,0.1198,300862,0.4416,0.7372,0.3694,2025-07-21,2025-07-27
2025-07-28/2025-08-03,0.0344,431077,0.4874,0.747,0.1462,2025-07-29,2025-08-03
2025-08-04/2025-08-10,0.0897,282266,0.3838,0.6976,0.303,2025-08-04,2025-08-10
2025-08-11/2025-08-17,0.0932,268887,0.4537,0.7064,0.3275,2025-08-11,2025-08-17
2025-08-18/2025-08-24,0.0712,344213,0.3368,0.7131,0.2748,2025-08-19,2025-08-24
2025-08-25/2025-08-31,0.106,195323,0.4059,0.732,0.3608,2025-08-25,2025-08-31
2025-09-01/2025-09-07,0.1095,117472,0.4071,0.7081,0.3692,2025-09-01,2025-09-07
2025-09-08/2025-09-14,0.1405,140123,0.4494,0.705,0.4293,2025-09-08,2025-09-14
2025-09-15/2025-09-21,0.1606,154261,0.445,0.7291,0.5182,2025-09-15,2025-09-21
2025-09-22/2025-09-28,0.0325,245148,0.4437,0.7467,0.0837,2025-09-22,2025-09-28
2025-09-29/2025-10-05,0.1076,276569,0.3824,0.7252,0.3717,2025-09-29,2025-10-05
2025-10-06/2025-10-12,0.1563,167424,0.4333,0.7528,0.4903,2025-10-06,2025-10-12
