week,Final_Sentiment,Num_News,Avg_Relevance,Avg_Trustfulness,Avg_Directional,Start_Date,End_Date
2024-10-14/2024-10-20,0.0845,847,0.3285,0.6802,0.562,2024-10-18,2024-10-20
2024-10-21/2024-10-27,0.0364,693,0.3554,0.7442,0.2554,2024-10-21,2024-10-27
2024-10-28/2024-11-03,0.0871,2492,0.4076,0.6894,0.3299,2024-10-28,2024-11-03
2024-11-04/2024-11-10,0.1205,2870,0.3658,0.6975,0.3519,2024-11-04,2024-11-09
2024-11-11/2024-11-17,0.061,2185,0.2922,0.6633,0.2467,2024-11-11,2024-11-17
2024-11-18/2024-11-24,0.0725,2412,0.2789,0.589,0.3561,2024-11-18,2024-11-24
2024-11-25/2024-12-01,0.0558,717,0.2131,0.5459,0.3138,2024-11-25,2024-12-01
2024-12-02/2024-12-08,0.1478,6905,0.3579,0.6521,0.5166,2024-12-02,2024-12-08
2024-12-09/2024-12-15,0.2068,64243,0.6061,0.6912,0.4685,2024-12-09,2024-12-15
2024-12-16/2024-12-22,0.1667,49175,0.4744,0.7315,0.477,2024-12-16,2024-12-22
2024-12-23/2024-12-29,0.1378,10292,0.3765,0.7095,0.4913,2024-12-23,2024-12-29
2024-12-30/2025-01-05,0.0881,7877,0.3301,0.6944,0.3991,2024-12-30,2025-01-05
2025-01-06/2025-01-12,0.1421,11234,0.3619,0.6559,0.5847,2025-01-06,2025-01-11
2025-01-13/2025-01-19,0.0268,1004,0.1721,0.5707,0.242,2025-01-13,2025-01-19
2025-01-20/2025-01-26,0.0607,742,0.1788,0.5749,0.4474,2025-01-20,2025-01-26
2025-01-27/2025-02-02,0.0645,12690,0.2983,0.6755,0.2389,2025-01-27,2025-02-02
2025-02-03/2025-02-09,0.0156,2113,0.1532,0.5388,0.1699,2025-02-03,2025-02-08
2025-02-10/2025-02-16,0.0161,544,0.1645,0.4235,0.1434,2025-02-10,2025-02-16
2025-02-17/2025-02-23,0.0086,7099,0.1897,0.5054,0.0732,2025-02-17,2025-02-23
2025-02-24/2025-03-02,0.0177,1316,0.1817,0.4901,0.193,2025-02-24,2025-03-01
2025-03-03/2025-03-09,0.1404,33519,0.4748,0.6658,0.3321,2025-03-03,2025-03-09
2025-03-10/2025-03-16,0.0714,4464,0.2643,0.6026,0.3069,2025-03-10,2025-03-16
2025-03-17/2025-03-23,0.078,7239,0.2706,0.6177,0.3931,2025-03-17,2025-03-23
2025-03-24/2025-03-30,0.0836,12066,0.2994,0.6946,0.37,2025-03-24,2025-03-30
2025-03-31/2025-04-06,0.0569,7905,0.29,0.5704,0.3066,2025-03-31,2025-04-06
2025-04-07/2025-04-13,0.1127,9363,0.4371,0.733,0.3444,2025-04-07,2025-04-13
2025-04-14/2025-04-20,0.0712,3195,0.3826,0.7968,0.3603,2025-04-14,2025-04-19
2025-04-21/2025-04-27,0.1495,1598,0.4025,0.8103,0.5138,2025-04-21,2025-04-26
2025-04-28/2025-05-04,0.0699,7687,0.2382,0.6889,0.387,2025-04-28,2025-05-04
2025-05-05/2025-05-11,0.0357,10329,0.1972,0.6116,0.225,2025-05-05,2025-05-11
2025-05-12/2025-05-18,0.0703,5334,0.2662,0.6137,0.3903,2025-05-12,2025-05-18
2025-05-19/2025-05-25,0.1169,6742,0.2784,0.652,0.5282,2025-05-19,2025-05-24
2025-05-26/2025-06-01,0.1191,13534,0.3584,0.6585,0.4953,2025-05-26,2025-06-01
2025-06-02/2025-06-08,0.2157,91454,0.5086,0.6887,0.5643,2025-06-02,2025-06-08
2025-06-09/2025-06-15,0.1007,4753,0.3714,0.5973,0.3617,2025-06-09,2025-06-15
2025-06-16/2025-06-22,0.1717,4290,0.4134,0.7523,0.466,2025-06-16,2025-06-22
2025-06-23/2025-06-29,0.1745,15652,0.3266,0.7047,0.6022,2025-06-23,2025-06-29
2025-06-30/2025-07-06,0.1566,11157,0.3359,0.6861,0.5876,2025-06-30,2025-07-06
2025-07-07/2025-07-13,0.1177,12602,0.2697,0.6923,0.7127,2025-07-07,2025-07-13
2025-07-14/2025-07-20,0.145,8317,0.2905,0.6771,0.6564,2025-07-14,2025-07-20
2025-07-21/2025-07-27,0.127,12330,0.2793,0.6823,0.4886,2025-07-21,2025-07-27
2025-07-28/2025-08-03,0.13,6115,0.3054,0.6221,0.494,2025-07-28,2025-08-02
2025-08-04/2025-08-10,0.1659,13311,0.355,0.7105,0.5321,2025-08-04,2025-08-10
2025-08-11/2025-08-17,0.1337,7440,0.2586,0.7143,0.4907,2025-08-11,2025-08-17
2025-08-18/2025-08-24,0.0001,35207,0.1828,0.7393,-0.0704,2025-08-18,2025-08-24
2025-08-25/2025-08-31,0.1632,49862,0.4154,0.749,0.4985,2025-08-25,2025-08-31
2025-09-01/2025-09-07,0.1795,105696,0.5377,0.725,0.4466,2025-09-01,2025-09-07
2025-09-08/2025-09-14,0.2028,55077,0.4355,0.7537,0.655,2025-09-08,2025-09-14
2025-09-15/2025-09-21,0.1262,20729,0.3629,0.6976,0.4906,2025-09-15,2025-09-21
2025-09-22/2025-09-28,0.1689,15102,0.3124,0.7446,0.6185,2025-09-22,2025-09-28
2025-09-29/2025-10-05,0.1148,19782,0.3113,0.7322,0.4899,2025-09-29,2025-10-05
2025-10-06/2025-10-12,0.0741,16330,0.3155,0.7039,0.3121,2025-10-06,2025-10-12
