week,Final_Sentiment,Num_News,Avg_Relevance,Avg_Trustfulness,Avg_Directional,Start_Date,End_Date
2024-10-14/2024-10-20,-0.198,9,0.5867,0.8,-0.5556,2024-10-18,2024-10-19
2024-10-21/2024-10-27,-0.4117,3212,0.5263,0.6917,-0.9885,2024-10-22,2024-10-27
2024-10-28/2024-11-03,-0.0143,19,0.3579,0.6684,-0.3684,2024-10-28,2024-11-01
2024-11-04/2024-11-10,-0.0383,236,0.1533,0.7881,-0.5212,2024-11-04,2024-11-10
2024-11-11/2024-11-17,0.1061,73,0.4388,0.7932,0.1233,2024-11-11,2024-11-16
2024-11-18/2024-11-24,-0.0603,33,0.5318,0.7848,-0.1515,2024-11-18,2024-11-22
2024-11-25/2024-12-01,-0.0438,5,0.316,0.4,0.0,2024-11-26,2024-11-30
2024-12-02/2024-12-08,0.0814,44,0.3777,0.5159,0.3636,2024-12-02,2024-12-08
2024-12-09/2024-12-15,0.019,112,0.2907,0.7295,0.1429,2024-12-09,2024-12-14
2024-12-16/2024-12-22,0.0844,130,0.3937,0.5377,-0.0769,2024-12-16,2024-12-21
2024-12-23/2024-12-29,0.0513,21,0.2819,0.6286,0.4762,2024-12-23,2024-12-29
2024-12-30/2025-01-05,-0.0141,26,0.3369,0.6,-0.3077,2024-12-30,2025-01-04
2025-01-06/2025-01-12,0.342,38,0.6455,0.7684,0.7105,2025-01-06,2025-01-11
2025-01-13/2025-01-19,-0.0007,38,0.3887,0.3684,-0.0263,2025-01-13,2025-01-17
2025-01-20/2025-01-26,-0.0075,5,0.532,0.36,-0.4,2025-01-20,2025-01-24
2025-01-27/2025-02-02,0.1133,3,0.54,0.3333,1.0,2025-01-27,2025-01-30
2025-02-03/2025-02-09,0.0747,265,0.4528,0.7075,0.1849,2025-02-03,2025-02-07
2025-02-10/2025-02-16,0.0025,2,0.3,0.9,0.5,2025-02-13,2025-02-14
2025-02-17/2025-02-23,0.0,3,0.24,0.8333,0.0,2025-02-20,2025-02-22
2025-02-24/2025-03-02,-0.0526,5,0.396,0.82,-0.4,2025-02-24,2025-03-02
2025-03-03/2025-03-09,0.0363,51,0.3559,0.6353,0.0784,2025-03-03,2025-03-09
2025-03-10/2025-03-16,0.2916,12,0.4175,0.75,0.75,2025-03-10,2025-03-14
2025-03-17/2025-03-23,0.1132,8,0.2075,0.8,0.75,2025-03-18,2025-03-23
2025-03-24/2025-03-30,0.0159,17,0.4159,0.5706,-0.0588,2025-03-25,2025-03-29
2025-03-31/2025-04-06,0.3496,15,0.608,0.7733,0.9333,2025-04-01,2025-04-06
2025-04-07/2025-04-13,0.0212,23,0.4587,0.8,0.0435,2025-04-07,2025-04-11
2025-04-14/2025-04-20,0.0417,40,0.6033,0.8,-0.05,2025-04-15,2025-04-18
2025-04-21/2025-04-27,-0.0935,3704,0.5717,0.7934,-0.1925,2025-04-21,2025-04-26
2025-04-28/2025-05-04,0.2674,91,0.4775,0.6681,0.6154,2025-04-28,2025-05-03
2025-05-05/2025-05-11,0.0908,13,0.5115,0.8077,0.2308,2025-05-05,2025-05-10
2025-05-12/2025-05-18,-0.0498,78,0.5987,0.7436,-0.2051,2025-05-12,2025-05-18
2025-05-19/2025-05-25,-0.1633,1057,0.3451,0.6894,-0.4541,2025-05-19,2025-05-25
2025-05-26/2025-06-01,-0.1845,10,0.28,0.64,0.2,2025-05-26,2025-05-29
2025-06-02/2025-06-08,-0.0204,35,0.2089,0.66,0.0571,2025-06-02,2025-06-06
2025-06-09/2025-06-15,-0.0389,17,0.1635,0.7294,-0.4118,2025-06-09,2025-06-11
2025-06-16/2025-06-22,-0.1272,4798,0.2911,0.8042,-0.772,2025-06-16,2025-06-22
2025-06-23/2025-06-29,0.2175,630,0.3388,0.7333,0.8032,2025-06-24,2025-06-28
2025-06-30/2025-07-06,-0.0009,1499,0.3259,0.7313,-0.02,2025-06-30,2025-07-04
2025-07-07/2025-07-13,-0.1298,1625,0.3308,0.7591,-0.504,2025-07-07,2025-07-10
2025-07-14/2025-07-20,0.0652,105,0.3644,0.7238,0.1429,2025-07-14,2025-07-20
2025-07-21/2025-07-27,-0.1808,1942,0.587,0.7073,-0.4047,2025-07-21,2025-07-25
2025-07-28/2025-08-03,0.0058,36,0.2869,0.8,0.1389,2025-07-28,2025-08-01
2025-08-04/2025-08-10,0.0678,64,0.6484,0.6594,0.1719,2025-08-04,2025-08-08
2025-08-11/2025-08-17,0.1043,74,0.453,0.8,0.2973,2025-08-11,2025-08-16
2025-08-18/2025-08-24,0.1172,556,0.2521,0.7631,0.6349,2025-08-18,2025-08-23
2025-08-25/2025-08-31,0.1941,4,0.7775,0.8,0.5,2025-08-25,2025-08-27
2025-09-01/2025-09-07,-0.0203,36,0.1456,0.7444,0.4167,2025-09-02,2025-09-06
2025-09-08/2025-09-14,0.0768,492,0.3174,0.7919,0.3415,2025-09-08,2025-09-12
2025-09-15/2025-09-21,0.0345,23,0.4574,0.713,-0.2609,2025-09-16,2025-09-21
2025-09-22/2025-09-28,0.4025,1,0.75,0.8,1.0,2025-09-22,2025-09-22
2025-09-29/2025-10-05,0.36,14,0.6607,0.8,0.6429,2025-09-29,2025-10-03
2025-10-06/2025-10-12,-0.0662,41,0.6029,0.5073,-0.5122,2025-10-06,2025-10-11
