week,Final_Sentiment,Num_News,Avg_Relevance,Avg_Trustfulness,Avg_Directional,Start_Date,End_Date
2024-10-14/2024-10-20,0.0141,10745,0.3822,0.6577,-0.0196,2024-10-18,2024-10-20
2024-10-21/2024-10-27,0.1996,67853,0.5395,0.6814,0.301,2024-10-22,2024-10-27
2024-10-28/2024-11-03,0.3461,492501,0.7301,0.7033,0.4773,2024-10-28,2024-11-03
2024-11-04/2024-11-10,0.2376,324659,0.4942,0.6814,0.343,2024-11-04,2024-11-10
2024-11-11/2024-11-17,0.2826,308925,0.5259,0.6485,0.4303,2024-11-11,2024-11-17
2024-11-18/2024-11-24,0.2118,254497,0.5039,0.6518,0.3261,2024-11-18,2024-11-24
2024-11-25/2024-12-01,0.2074,93377,0.4953,0.5947,0.3136,2024-11-25,2024-12-01
2024-12-02/2024-12-08,0.3745,299468,0.6146,0.659,0.5322,2024-12-02,2024-12-08
2024-12-09/2024-12-15,0.1995,232317,0.4316,0.6362,0.2715,2024-12-09,2024-12-15
2024-12-16/2024-12-22,0.1591,180795,0.3854,0.689,0.2325,2024-12-16,2024-12-22
2024-12-23/2024-12-29,0.2324,86737,0.4364,0.6847,0.337,2024-12-23,2024-12-29
2024-12-30/2025-01-05,0.11,17907,0.3334,0.7094,0.1392,2024-12-30,2025-01-05
2025-01-06/2025-01-12,0.2014,144317,0.378,0.6808,0.3056,2025-01-06,2025-01-12
2025-01-13/2025-01-19,0.1594,12566,0.2835,0.5574,0.212,2025-01-13,2025-01-19
2025-01-20/2025-01-26,0.0771,12889,0.3468,0.5277,0.1162,2025-01-20,2025-01-26
2025-01-27/2025-02-02,0.0284,14614,0.4022,0.4741,0.0062,2025-01-27,2025-02-02
2025-02-03/2025-02-09,0.2588,82186,0.4757,0.6576,0.2954,2025-02-03,2025-02-09
2025-02-10/2025-02-16,0.142,21210,0.3646,0.5126,0.2409,2025-02-10,2025-02-16
2025-02-17/2025-02-23,0.0937,20267,0.2423,0.4839,0.1626,2025-02-17,2025-02-23
2025-02-24/2025-03-02,0.1387,20718,0.2877,0.4871,0.1857,2025-02-24,2025-03-02
2025-03-03/2025-03-09,0.0419,14811,0.2968,0.5466,0.0416,2025-03-03,2025-03-09
2025-03-10/2025-03-16,0.1231,36324,0.2925,0.5566,0.1874,2025-03-10,2025-03-16
2025-03-17/2025-03-23,0.0646,30257,0.3055,0.561,0.1017,2025-03-17,2025-03-23
2025-03-24/2025-03-30,0.194,162025,0.4663,0.6813,0.2699,2025-03-24,2025-03-30
2025-03-31/2025-04-06,0.1764,288760,0.3453,0.7193,0.2321,2025-03-31,2025-04-06
2025-04-07/2025-04-13,0.1842,237458,0.4741,0.7428,0.2437,2025-04-07,2025-04-13
2025-04-14/2025-04-20,0.263,19890,0.5518,0.6989,0.3421,2025-04-14,2025-04-20
2025-04-21/2025-04-27,0.2745,162459,0.5007,0.7494,0.3582,2025-04-21,2025-04-27
2025-04-28/2025-05-04,0.3319,566089,0.6639,0.6891,0.4813,2025-04-29,2025-05-04
2025-05-05/2025-05-11,0.1701,151695,0.4779,0.6605,0.2507,2025-05-05,2025-05-11
2025-05-12/2025-05-18,0.1947,200456,0.4077,0.6523,0.2735,2025-05-12,2025-05-18
2025-05-19/2025-05-25,0.2358,127540,0.459,0.6429,0.3175,2025-05-19,2025-05-25
2025-05-26/2025-06-01,0.1469,80289,0.4295,0.6718,0.2283,2025-05-26,2025-06-01
2025-06-02/2025-06-08,0.2685,140687,0.5145,0.6822,0.3934,2025-06-02,2025-06-08
2025-06-09/2025-06-15,0.3292,139964,0.5209,0.6921,0.4832,2025-06-09,2025-06-15
2025-06-16/2025-06-22,0.2545,185446,0.4705,0.743,0.3574,2025-06-16,2025-06-21
2025-06-23/2025-06-29,0.204,239463,0.4057,0.7026,0.309,2025-06-23,2025-06-29
2025-06-30/2025-07-06,0.2242,299210,0.3975,0.7244,0.3204,2025-06-30,2025-07-06
2025-07-07/2025-07-13,0.2387,314325,0.4465,0.7328,0.3329,2025-07-07,2025-07-13
2025-07-14/2025-07-20,0.2061,184375,0.4359,0.7161,0.2876,2025-07-14,2025-07-20
2025-07-21/2025-07-27,0.1794,311131,0.4097,0.7293,0.2672,2025-07-21,2025-07-27
2025-07-28/2025-08-03,0.2172,498860,0.5497,0.7292,0.2728,2025-07-29,2025-08-03
2025-08-04/2025-08-10,0.1619,307656,0.4271,0.6847,0.2514,2025-08-04,2025-08-10
2025-08-11/2025-08-17,0.2267,264356,0.4451,0.7082,0.3448,2025-08-11,2025-08-17
2025-08-18/2025-08-24,0.1251,359976,0.3294,0.7158,0.1852,2025-08-19,2025-08-24
2025-08-25/2025-08-31,0.1405,213073,0.3911,0.7347,0.2141,2025-08-25,2025-08-31
2025-09-01/2025-09-07,0.1844,126938,0.3524,0.7112,0.2444,2025-09-01,2025-09-07
2025-09-08/2025-09-14,0.2139,158697,0.4333,0.7059,0.3075,2025-09-08,2025-09-14
2025-09-15/2025-09-21,0.2667,174287,0.4474,0.724,0.3736,2025-09-15,2025-09-21
2025-09-22/2025-09-28,0.1533,287033,0.4304,0.7537,0.2215,2025-09-22,2025-09-28
2025-09-29/2025-10-05,0.1787,286810,0.4149,0.727,0.2658,2025-09-29,2025-10-05
2025-10-06/2025-10-12,0.2143,176834,0.4131,0.7496,0.3034,2025-10-06,2025-10-12
