week,Final_Sentiment,Num_News,Avg_Relevance,Avg_Trustfulness,Avg_Directional,Start_Date,End_Date
2024-10-14/2024-10-20,0.5243,2060,0.8039,0.7608,0.6665,2024-10-18,2024-10-19
2024-10-21/2024-10-27,0.1286,51,0.7078,0.7373,0.2353,2024-10-21,2024-10-25
2024-10-28/2024-11-03,0.0516,18,0.7444,0.7944,0.0556,2024-10-28,2024-11-01
2024-11-04/2024-11-10,0.512,12,0.25,0.6417,0.5,2024-11-06,2024-11-10
2024-11-11/2024-11-17,-0.1941,128,0.5312,0.5227,-0.3828,2024-11-12,2024-11-16
2024-11-18/2024-11-24,0.3763,29,0.131,0.4724,0.069,2024-11-18,2024-11-20
2024-11-25/2024-12-01,0.0,10,0.5,0.55,0.0,2024-11-26,2024-11-28
2024-12-02/2024-12-08,0.5272,81,0.8,0.7556,0.6667,2024-12-03,2024-12-06
2024-12-09/2024-12-15,0.1684,12,0.5,0.6,0.0833,2024-12-09,2024-12-14
2024-12-16/2024-12-22,0.2852,45,0.5111,0.5467,0.4,2024-12-17,2024-12-21
2024-12-23/2024-12-29,-0.3039,25,0.336,0.56,0.16,2024-12-23,2024-12-28
2024-12-30/2025-01-05,0.2297,43,0.814,0.6907,0.2093,2024-12-31,2025-01-03
2025-01-06/2025-01-12,0.0482,74,0.4932,0.7216,0.0541,2025-01-06,2025-01-09
2025-01-13/2025-01-19,0.242,143,0.758,0.4636,0.3776,2025-01-15,2025-01-19
2025-01-20/2025-01-26,0.02,406,0.5591,0.5709,0.0123,2025-01-20,2025-01-25
2025-01-27/2025-02-02,0.0922,17,0.4941,0.3235,0.2353,2025-01-27,2025-01-30
2025-02-10/2025-02-16,0.64,3,0.2667,0.4667,0.6667,2025-02-11,2025-02-16
2025-02-17/2025-02-23,0.6984,17,0.6235,0.6824,0.2941,2025-02-19,2025-02-22
2025-02-24/2025-03-02,-0.4766,18,0.7222,0.6611,-0.3889,2025-02-25,2025-03-02
2025-03-03/2025-03-09,0.0672,12,0.5417,0.6917,0.1667,2025-03-03,2025-03-09
2025-03-10/2025-03-16,0.0,81,0.3012,0.6704,0.0123,2025-03-10,2025-03-13
2025-03-17/2025-03-23,0.4186,128,0.6719,0.7922,0.5859,2025-03-18,2025-03-21
2025-03-24/2025-03-30,0.2,20,0.6,0.8,0.25,2025-03-24,2025-03-29
2025-03-31/2025-04-06,0.3096,103,0.3359,0.6359,0.4175,2025-03-31,2025-04-06
2025-04-07/2025-04-13,0.2323,89,0.4472,0.818,0.3258,2025-04-08,2025-04-12
2025-04-14/2025-04-20,0.1415,52,0.725,0.8,0.1923,2025-04-14,2025-04-18
2025-04-21/2025-04-27,-0.1629,3444,0.9295,0.7672,-0.2053,2025-04-21,2025-04-27
2025-04-28/2025-05-04,0.513,144,0.5729,0.716,0.7639,2025-04-28,2025-05-03
2025-05-05/2025-05-11,0.3267,379,0.4121,0.6515,0.5462,2025-05-05,2025-05-11
2025-05-12/2025-05-18,-0.0982,142,0.9155,0.6514,-0.1127,2025-05-14,2025-05-17
2025-05-19/2025-05-25,0.2541,10,0.68,0.8,0.5,2025-05-22,2025-05-24
2025-05-26/2025-06-01,0.3262,25,0.52,0.64,0.48,2025-05-27,2025-05-30
2025-06-02/2025-06-08,0.4144,21,0.6667,0.6857,0.5238,2025-06-02,2025-06-08
2025-06-09/2025-06-15,-0.2068,348,0.7747,0.7422,-0.2845,2025-06-09,2025-06-14
2025-06-16/2025-06-22,0.275,92,0.5565,0.8,0.3587,2025-06-17,2025-06-20
2025-06-23/2025-06-29,0.3597,17,0.4471,0.7059,0.5294,2025-06-24,2025-06-28
2025-06-30/2025-07-06,0.4363,46,0.8413,0.7217,0.587,2025-06-30,2025-07-05
2025-07-07/2025-07-13,0.1941,26,0.9077,0.6769,0.5,2025-07-08,2025-07-13
2025-07-14/2025-07-20,0.5565,25,0.92,0.8,0.76,2025-07-14,2025-07-17
2025-07-21/2025-07-27,0.0994,641,0.6577,0.7663,0.1622,2025-07-21,2025-07-27
2025-07-28/2025-08-03,0.3702,254,0.4134,0.7114,0.5,2025-07-28,2025-08-03
2025-08-04/2025-08-10,0.5779,74,0.2973,0.6054,0.7703,2025-08-05,2025-08-10
2025-08-11/2025-08-17,0.6024,12,0.8417,0.6333,0.9167,2025-08-11,2025-08-17
2025-08-18/2025-08-24,0.3339,169,0.4503,0.6402,0.5266,2025-08-19,2025-08-23
2025-08-25/2025-08-31,0.0857,92,0.6304,0.7511,0.0978,2025-08-25,2025-08-28
2025-09-01/2025-09-07,-0.2114,64,0.5844,0.7297,-0.125,2025-09-02,2025-09-07
2025-09-08/2025-09-14,0.4686,71,0.7127,0.8,0.4648,2025-09-09,2025-09-13
2025-09-15/2025-09-21,0.4274,147,0.5442,0.6537,0.6463,2025-09-15,2025-09-21
2025-09-22/2025-09-28,0.5846,4,0.475,0.675,0.75,2025-09-22,2025-09-25
2025-09-29/2025-10-05,0.3114,90,0.6278,0.75,0.3,2025-09-29,2025-10-03
2025-10-06/2025-10-12,0.5068,105,0.659,0.8,0.6667,2025-10-06,2025-10-11
