week,Final_Sentiment,Num_News,Avg_Relevance,Avg_Trustfulness,Avg_Directional,Start_Date,End_Date
2024-10-14/2024-10-20,-0.1822,64,0.45,0.8,-0.25,2024-10-18,2024-10-18
2024-10-21/2024-10-27,0.0788,2150,0.7365,0.723,0.1516,2024-10-21,2024-10-27
2024-10-28/2024-11-03,0.2097,1744,0.5522,0.6718,0.3159,2024-10-28,2024-11-03
2024-11-04/2024-11-10,0.0466,6984,0.6604,0.7538,0.0762,2024-11-04,2024-11-10
2024-11-11/2024-11-17,-0.0168,1424,0.1969,0.5293,0.0267,2024-11-11,2024-11-16
2024-11-18/2024-11-24,-0.0623,736,0.3715,0.6512,-0.0883,2024-11-18,2024-11-23
2024-11-25/2024-12-01,0.1379,3960,0.2647,0.5962,0.179,2024-11-25,2024-12-01
2024-12-02/2024-12-08,0.0318,1989,0.4479,0.6019,-0.0176,2024-12-02,2024-12-07
2024-12-09/2024-12-15,-0.0075,1025,0.3732,0.5663,0.08,2024-12-09,2024-12-15
2024-12-16/2024-12-22,-0.3727,16440,0.6652,0.683,-0.5098,2024-12-16,2024-12-22
2024-12-23/2024-12-29,0.0517,1430,0.6605,0.7192,0.0643,2024-12-23,2024-12-29
2024-12-30/2025-01-05,-0.0444,154,0.5584,0.7545,-0.0584,2024-12-30,2025-01-04
2025-01-06/2025-01-12,-0.0434,1991,0.5708,0.7187,-0.0226,2025-01-06,2025-01-11
2025-01-13/2025-01-19,-0.2308,41,0.2537,0.3,-0.1951,2025-01-13,2025-01-19
2025-01-20/2025-01-26,0.0,11,0.0,0.3,-0.1818,2025-01-20,2025-01-26
2025-01-27/2025-02-02,0.0288,136,0.0956,0.3,0.1471,2025-01-28,2025-02-01
2025-02-03/2025-02-09,0.1071,128,0.4922,0.3,0.3906,2025-02-05,2025-02-09
2025-02-10/2025-02-16,0.0979,72,0.1583,0.3,0.1944,2025-02-10,2025-02-15
2025-02-17/2025-02-23,0.1385,158,0.1646,0.3,0.2152,2025-02-17,2025-02-23
2025-02-24/2025-03-02,0.0614,169,0.1148,0.3,0.4201,2025-02-24,2025-02-28
2025-03-03/2025-03-09,0.0188,83,0.0964,0.3,0.0482,2025-03-03,2025-03-08
2025-03-10/2025-03-16,-0.1426,381,0.4168,0.4942,-0.1995,2025-03-10,2025-03-15
2025-03-17/2025-03-23,0.3123,567,0.5541,0.651,0.3757,2025-03-17,2025-03-21
2025-03-24/2025-03-30,0.0148,45,0.1533,0.3,0.0889,2025-03-24,2025-03-30
2025-03-31/2025-04-06,-0.06,37,0.1351,0.3,-0.027,2025-03-31,2025-04-04
2025-04-07/2025-04-13,0.0,66,0.0,0.3,0.0,2025-04-07,2025-04-11
2025-04-14/2025-04-20,0.2495,802,0.505,0.6797,0.2282,2025-04-14,2025-04-19
2025-04-21/2025-04-27,-0.2782,169,0.8077,0.7497,-0.2189,2025-04-21,2025-04-26
2025-04-28/2025-05-04,0.1547,164,0.4067,0.3,0.4878,2025-04-29,2025-05-03
2025-05-05/2025-05-11,0.1228,127,0.5756,0.3,0.4252,2025-05-05,2025-05-09
2025-05-12/2025-05-18,0.115,47,0.4872,0.3,0.383,2025-05-12,2025-05-18
2025-05-19/2025-05-25,0.1755,606,0.6814,0.6861,0.2624,2025-05-20,2025-05-25
2025-05-26/2025-06-01,-0.0662,228,0.4132,0.6969,-0.0921,2025-05-26,2025-05-31
2025-06-02/2025-06-08,-0.0751,234,0.3457,0.6312,0.0641,2025-06-02,2025-06-08
2025-06-09/2025-06-15,0.2528,4314,0.4896,0.7295,0.2872,2025-06-09,2025-06-14
2025-06-16/2025-06-22,0.3342,651,0.6773,0.7439,0.5054,2025-06-16,2025-06-22
2025-06-23/2025-06-29,-0.1375,14537,0.5517,0.7564,-0.1887,2025-06-23,2025-06-29
2025-06-30/2025-07-06,0.2327,1089,0.4197,0.6916,0.1726,2025-06-30,2025-07-06
2025-07-07/2025-07-13,0.0708,1539,0.4082,0.6369,0.091,2025-07-07,2025-07-13
2025-07-14/2025-07-20,0.0961,28,0.1286,0.6214,0.3214,2025-07-14,2025-07-15
2025-07-21/2025-07-27,0.1368,33,0.3455,0.3,0.5152,2025-07-21,2025-07-25
2025-07-28/2025-08-03,0.0124,139,0.5259,0.3,-0.0935,2025-07-29,2025-08-03
2025-08-04/2025-08-10,-0.0281,135,0.5919,0.3,-0.037,2025-08-04,2025-08-10
2025-08-11/2025-08-17,0.0103,115,0.6383,0.3,-0.0087,2025-08-11,2025-08-16
2025-08-18/2025-08-24,0.0474,3484,0.4201,0.7238,0.0809,2025-08-18,2025-08-24
2025-08-25/2025-08-31,0.1301,387,0.5651,0.5455,0.1835,2025-08-27,2025-08-31
2025-09-01/2025-09-07,0.1391,1583,0.5133,0.7994,0.1567,2025-09-01,2025-09-06
2025-09-08/2025-09-14,-0.1842,3169,0.68,0.6556,-0.2335,2025-09-08,2025-09-14
2025-09-15/2025-09-21,0.09,65,0.5385,0.3,0.0462,2025-09-15,2025-09-21
2025-09-22/2025-09-28,-0.0394,3718,0.2875,0.7685,-0.028,2025-09-22,2025-09-27
2025-09-29/2025-10-05,0.0776,144,0.3271,0.3,0.2778,2025-09-29,2025-10-05
2025-10-06/2025-10-12,0.2449,1533,0.6129,0.6656,0.4351,2025-10-06,2025-10-11
