week,Final_Sentiment,Num_News,Avg_Relevance,Avg_Trustfulness,Avg_Directional,Start_Date,End_Date
2024-10-14/2024-10-20,0.0918,349,0.3831,0.4862,0.5358,2024-10-18,2024-10-20
2024-10-21/2024-10-27,0.0168,4801,0.5423,0.6812,0.106,2024-10-21,2024-10-27
2024-10-28/2024-11-03,0.0179,34398,0.5974,0.6644,0.039,2024-10-28,2024-11-03
2024-11-04/2024-11-10,0.1138,4789,0.4544,0.6853,0.4821,2024-11-04,2024-11-10
2024-11-11/2024-11-17,0.0699,3326,0.4429,0.6734,0.3358,2024-11-11,2024-11-17
2024-11-18/2024-11-24,0.0683,8099,0.4139,0.5788,0.3321,2024-11-18,2024-11-24
2024-11-25/2024-12-01,0.0759,14318,0.4343,0.7001,0.388,2024-11-25,2024-11-30
2024-12-02/2024-12-08,0.1125,6249,0.5909,0.6883,0.3287,2024-12-02,2024-12-08
2024-12-09/2024-12-15,0.1434,6780,0.5665,0.697,0.4885,2024-12-09,2024-12-15
2024-12-16/2024-12-22,0.0872,22445,0.5969,0.7017,0.2504,2024-12-16,2024-12-22
2024-12-23/2024-12-29,0.1091,4383,0.531,0.5921,0.3242,2024-12-23,2024-12-29
2024-12-30/2025-01-05,0.1391,1800,0.5389,0.6744,0.4211,2024-12-30,2025-01-05
2025-01-06/2025-01-12,0.0648,2221,0.47,0.7251,0.3237,2025-01-06,2025-01-11
2025-01-13/2025-01-19,0.057,3178,0.6207,0.529,0.2395,2025-01-13,2025-01-18
2025-01-20/2025-01-26,0.0786,273,0.4267,0.407,0.4359,2025-01-20,2025-01-26
2025-01-27/2025-02-02,0.0296,123,0.2715,0.461,0.2439,2025-01-27,2025-02-01
2025-02-03/2025-02-09,0.0392,1751,0.4706,0.6037,0.1468,2025-02-04,2025-02-08
2025-02-10/2025-02-16,-0.0348,27,0.1541,0.4778,-0.4444,2025-02-10,2025-02-16
2025-02-17/2025-02-23,0.0022,618,0.3528,0.4516,0.0647,2025-02-17,2025-02-23
2025-02-24/2025-03-02,0.0745,1937,0.4173,0.5383,0.3304,2025-02-24,2025-03-01
2025-03-03/2025-03-09,-0.0224,755,0.3725,0.6658,-0.147,2025-03-03,2025-03-08
2025-03-10/2025-03-16,0.06,3982,0.4536,0.6088,0.3144,2025-03-10,2025-03-16
2025-03-17/2025-03-23,0.0959,2190,0.4327,0.5511,0.453,2025-03-17,2025-03-23
2025-03-24/2025-03-30,0.0517,6182,0.5047,0.6285,0.1883,2025-03-24,2025-03-30
2025-03-31/2025-04-06,0.0678,4666,0.5303,0.6983,0.2394,2025-03-31,2025-04-06
2025-04-07/2025-04-13,-0.0251,10501,0.471,0.7637,-0.0918,2025-04-07,2025-04-13
2025-04-14/2025-04-20,0.1991,22354,0.5746,0.761,0.6375,2025-04-14,2025-04-20
2025-04-21/2025-04-27,0.1035,3398,0.515,0.7293,0.3805,2025-04-21,2025-04-27
2025-04-28/2025-05-04,0.0252,47060,0.637,0.6511,0.0846,2025-04-28,2025-05-04
2025-05-05/2025-05-11,0.1137,7478,0.4728,0.6151,0.3956,2025-05-05,2025-05-11
2025-05-12/2025-05-18,-0.0326,13808,0.4803,0.7364,-0.0652,2025-05-12,2025-05-18
2025-05-19/2025-05-25,0.1691,2653,0.4974,0.6361,0.6487,2025-05-19,2025-05-25
2025-05-26/2025-06-01,0.1979,1531,0.5952,0.6088,0.629,2025-05-26,2025-05-30
2025-06-02/2025-06-08,0.1467,2265,0.4947,0.6456,0.6146,2025-06-02,2025-06-08
2025-06-09/2025-06-15,0.1059,3397,0.4566,0.6743,0.4298,2025-06-09,2025-06-15
2025-06-16/2025-06-22,0.0969,22129,0.475,0.6522,0.4005,2025-06-16,2025-06-21
2025-06-23/2025-06-29,0.0934,8993,0.5036,0.6959,0.3717,2025-06-23,2025-06-29
2025-06-30/2025-07-06,0.0643,885,0.3985,0.7321,0.3932,2025-06-30,2025-07-06
2025-07-07/2025-07-13,0.1345,5376,0.536,0.6926,0.4319,2025-07-07,2025-07-13
2025-07-14/2025-07-20,0.0829,3467,0.4699,0.7047,0.1586,2025-07-14,2025-07-19
2025-07-21/2025-07-27,0.1491,7759,0.51,0.7304,0.4691,2025-07-21,2025-07-27
2025-07-28/2025-08-03,0.0527,23022,0.5019,0.7215,0.1777,2025-07-28,2025-08-03
2025-08-04/2025-08-10,0.1077,63921,0.5574,0.7348,0.3094,2025-08-04,2025-08-09
2025-08-11/2025-08-17,0.0796,17763,0.5738,0.75,0.2565,2025-08-11,2025-08-17
2025-08-18/2025-08-24,0.099,12362,0.4462,0.6113,0.4304,2025-08-18,2025-08-24
2025-08-25/2025-08-31,0.1217,35830,0.517,0.7952,0.3943,2025-08-25,2025-08-31
2025-09-01/2025-09-07,0.1345,7369,0.4897,0.6897,0.4946,2025-09-01,2025-09-06
2025-09-08/2025-09-14,0.0669,9065,0.5222,0.7061,0.2673,2025-09-08,2025-09-14
2025-09-15/2025-09-21,0.1345,24652,0.512,0.7692,0.4987,2025-09-15,2025-09-21
2025-09-22/2025-09-28,0.0725,31831,0.5451,0.7215,0.2393,2025-09-22,2025-09-28
2025-09-29/2025-10-05,0.0961,17354,0.471,0.75,0.4459,2025-09-29,2025-10-05
2025-10-06/2025-10-12,0.1856,5720,0.5387,0.7339,0.5657,2025-10-06,2025-10-12
