week,Final_Sentiment,Num_News,Avg_Relevance,Avg_Trustfulness,Avg_Directional,Start_Date,End_Date
2024-10-07/2024-10-13,0.1385,1,0.44,0.8,1.0,2024-10-13,2024-10-13
2024-10-14/2024-10-20,0.0939,3541,0.4981,0.6505,0.3513,2024-10-18,2024-10-20
2024-10-21/2024-10-27,0.1138,20810,0.5448,0.6556,0.3079,2024-10-21,2024-10-26
2024-10-28/2024-11-03,0.0398,157768,0.6314,0.7027,0.1481,2024-10-30,2024-11-03
2024-11-04/2024-11-10,0.078,86999,0.4615,0.6907,0.241,2024-11-04,2024-11-10
2024-11-11/2024-11-17,0.021,64867,0.4635,0.6211,0.0897,2024-11-11,2024-11-17
2024-11-18/2024-11-24,0.0909,43879,0.493,0.6184,0.3202,2024-11-18,2024-11-24
2024-11-25/2024-12-01,0.0298,44948,0.4312,0.6111,0.0726,2024-11-25,2024-12-01
2024-12-02/2024-12-08,0.0731,83732,0.5002,0.6741,0.2773,2024-12-02,2024-12-08
2024-12-09/2024-12-15,0.0459,111168,0.4246,0.6612,0.1793,2024-12-09,2024-12-15
2024-12-16/2024-12-22,0.073,78850,0.4723,0.6673,0.2629,2024-12-16,2024-12-22
2024-12-23/2024-12-29,0.1708,17992,0.4373,0.7207,0.6722,2024-12-23,2024-12-29
2024-12-30/2025-01-05,0.1088,9324,0.4118,0.7005,0.4526,2024-12-30,2025-01-05
2025-01-06/2025-01-12,0.0994,115634,0.517,0.7013,0.3055,2025-01-06,2025-01-12
2025-01-13/2025-01-19,-0.0003,17927,0.3723,0.6038,-0.03,2025-01-13,2025-01-19
2025-01-20/2025-01-26,0.0396,11858,0.4949,0.5307,0.2017,2025-01-20,2025-01-26
2025-01-27/2025-02-02,0.0177,51406,0.5079,0.5351,0.1143,2025-01-27,2025-02-02
2025-02-03/2025-02-09,0.0488,32665,0.3334,0.6342,0.2578,2025-02-03,2025-02-09
2025-02-10/2025-02-16,0.0402,7811,0.2921,0.5811,0.2722,2025-02-10,2025-02-16
2025-02-17/2025-02-23,0.0213,6910,0.3158,0.4712,0.2754,2025-02-17,2025-02-23
2025-02-24/2025-03-02,0.0216,8473,0.3064,0.538,0.0,2025-02-24,2025-03-02
2025-03-03/2025-03-09,0.0258,1327,0.3055,0.4848,0.2532,2025-03-03,2025-03-09
2025-03-10/2025-03-16,0.0381,10714,0.3689,0.6165,0.1744,2025-03-10,2025-03-16
2025-03-17/2025-03-23,0.0413,8134,0.3521,0.5903,0.1736,2025-03-17,2025-03-23
2025-03-24/2025-03-30,0.0363,75420,0.4358,0.6365,0.2125,2025-03-24,2025-03-30
2025-03-31/2025-04-06,-0.0029,77487,0.4326,0.7183,-0.0209,2025-03-31,2025-04-06
2025-04-07/2025-04-13,-0.0102,24916,0.4923,0.723,-0.0315,2025-04-07,2025-04-12
2025-04-14/2025-04-20,-0.0253,34211,0.6208,0.7311,-0.0341,2025-04-14,2025-04-20
2025-04-21/2025-04-27,0.0172,53338,0.5375,0.7281,0.0613,2025-04-21,2025-04-27
2025-04-28/2025-05-04,0.19,531139,0.6174,0.6941,0.4483,2025-04-28,2025-05-04
2025-05-05/2025-05-11,0.0716,73907,0.4155,0.6577,0.2952,2025-05-05,2025-05-11
2025-05-12/2025-05-18,0.0327,58726,0.4612,0.6508,0.1524,2025-05-12,2025-05-18
2025-05-19/2025-05-25,0.0671,30748,0.3691,0.6416,0.3186,2025-05-19,2025-05-25
2025-05-26/2025-06-01,0.0684,36659,0.4431,0.592,0.284,2025-05-26,2025-06-01
2025-06-02/2025-06-08,0.1608,196830,0.4708,0.7092,0.6468,2025-06-02,2025-06-08
2025-06-09/2025-06-15,0.0936,82604,0.4697,0.6335,0.3476,2025-06-09,2025-06-15
2025-06-16/2025-06-22,0.196,96191,0.5033,0.7183,0.6676,2025-06-16,2025-06-22
2025-06-23/2025-06-29,0.103,169867,0.5212,0.7322,0.3556,2025-06-23,2025-06-29
2025-06-30/2025-07-06,0.1432,160984,0.4417,0.7096,0.4983,2025-06-30,2025-07-06
2025-07-07/2025-07-13,0.0911,149383,0.4496,0.7371,0.359,2025-07-07,2025-07-13
2025-07-14/2025-07-20,0.0799,101976,0.4783,0.6996,0.2833,2025-07-14,2025-07-20
2025-07-21/2025-07-27,0.1037,235473,0.4508,0.7166,0.3746,2025-07-21,2025-07-27
2025-07-28/2025-08-03,0.108,413759,0.5313,0.7278,0.3057,2025-07-29,2025-08-03
2025-08-04/2025-08-10,0.1047,313981,0.4448,0.7155,0.3802,2025-08-04,2025-08-10
2025-08-11/2025-08-17,0.0885,269458,0.3787,0.7268,0.3455,2025-08-11,2025-08-17
2025-08-18/2025-08-24,0.0554,320970,0.4254,0.7224,0.2234,2025-08-18,2025-08-24
2025-08-25/2025-08-31,0.0906,168896,0.4402,0.7303,0.3341,2025-08-25,2025-08-31
2025-09-01/2025-09-07,0.0512,75731,0.4374,0.7309,0.2069,2025-09-01,2025-09-07
2025-09-08/2025-09-14,0.0747,63717,0.4133,0.7452,0.3044,2025-09-08,2025-09-14
2025-09-15/2025-09-21,0.1574,113888,0.4443,0.711,0.6546,2025-09-15,2025-09-21
2025-09-22/2025-09-28,0.1778,86718,0.5001,0.7548,0.5684,2025-09-22,2025-09-28
2025-09-29/2025-10-05,0.1154,177853,0.4348,0.733,0.4616,2025-09-29,2025-10-05
2025-10-06/2025-10-12,0.1404,113046,0.3917,0.7318,0.5515,2025-10-06,2025-10-12
