week,Final_Sentiment,Num_News,Avg_Relevance,Avg_Trustfulness,Avg_Directional,Start_Date,End_Date
2024-10-14/2024-10-20,0.1961,36,0.6361,0.6056,0.25,2024-10-18,2024-10-20
2024-10-21/2024-10-27,0.1876,9101,0.8255,0.6527,0.2778,2024-10-21,2024-10-27
2024-10-28/2024-11-03,-0.2027,476,0.6237,0.8099,-0.208,2024-10-28,2024-11-02
2024-11-04/2024-11-10,0.1913,244,0.6967,0.6537,0.2582,2024-11-04,2024-11-10
2024-11-11/2024-11-17,0.2305,37,0.9324,0.6892,0.2432,2024-11-12,2024-11-17
2024-11-18/2024-11-24,0.1872,292,0.4784,0.674,0.2877,2024-11-18,2024-11-24
2024-11-25/2024-12-01,0.2612,145,0.6952,0.6179,0.3862,2024-11-25,2024-11-30
2024-12-02/2024-12-08,0.1598,102,0.5284,0.5539,0.2549,2024-12-02,2024-12-07
2024-12-09/2024-12-15,0.0213,151,0.7821,0.6768,0.0596,2024-12-09,2024-12-15
2024-12-16/2024-12-22,0.0529,91,0.5593,0.567,0.011,2024-12-16,2024-12-21
2024-12-23/2024-12-29,0.4492,259,0.8127,0.6977,0.6062,2024-12-23,2024-12-28
2024-12-30/2025-01-05,0.1815,287,0.5986,0.6031,0.2927,2024-12-30,2025-01-05
2025-01-06/2025-01-12,0.0801,531,0.3507,0.5486,0.1299,2025-01-06,2025-01-11
2025-01-13/2025-01-19,0.0084,90,0.37,0.32,0.0,2025-01-13,2025-01-19
2025-01-20/2025-01-26,0.2151,261,0.7387,0.4966,0.3257,2025-01-20,2025-01-26
2025-01-27/2025-02-02,-0.0591,191,0.5686,0.3168,-0.2147,2025-01-28,2025-02-01
2025-02-03/2025-02-09,0.0,44,0.3386,0.3545,0.0,2025-02-03,2025-02-09
2025-02-10/2025-02-16,0.1168,81,0.5,0.4185,0.2469,2025-02-11,2025-02-15
2025-02-17/2025-02-23,0.0,26,0.2654,0.3,0.0,2025-02-17,2025-02-22
2025-02-24/2025-03-02,0.0678,51,0.0784,0.4137,0.3333,2025-02-24,2025-02-28
2025-03-03/2025-03-09,0.0,53,0.2547,0.3151,0.0,2025-03-03,2025-03-08
2025-03-10/2025-03-16,0.5865,351,0.4097,0.4875,0.6923,2025-03-11,2025-03-15
2025-03-17/2025-03-23,0.1379,331,0.7526,0.6701,0.1873,2025-03-17,2025-03-23
2025-03-24/2025-03-30,0.1685,110,0.5091,0.44,0.2,2025-03-24,2025-03-30
2025-03-31/2025-04-06,0.1584,31,0.6903,0.4935,0.3226,2025-03-31,2025-04-05
2025-04-07/2025-04-13,0.0964,235,0.7672,0.6366,0.1532,2025-04-08,2025-04-13
2025-04-14/2025-04-20,0.1984,89,0.482,0.8,0.3596,2025-04-15,2025-04-19
2025-04-21/2025-04-27,0.3208,1800,0.8336,0.6857,0.4744,2025-04-21,2025-04-27
2025-04-28/2025-05-04,0.1202,310,0.4552,0.5258,0.2516,2025-04-28,2025-05-04
2025-05-05/2025-05-11,0.3541,64,0.5484,0.5875,0.6875,2025-05-06,2025-05-10
2025-05-12/2025-05-18,0.3661,60,0.6233,0.6517,0.5,2025-05-13,2025-05-18
2025-05-19/2025-05-25,0.0376,538,0.4071,0.5738,0.0335,2025-05-19,2025-05-25
2025-05-26/2025-06-01,-0.1808,69,0.9507,0.6783,-0.2174,2025-05-26,2025-06-01
2025-06-02/2025-06-08,0.2446,117,0.5256,0.6453,0.3846,2025-06-02,2025-06-07
2025-06-09/2025-06-15,0.4196,187,0.4337,0.7829,0.5561,2025-06-10,2025-06-13
2025-06-16/2025-06-22,0.2574,123,0.552,0.6732,0.439,2025-06-16,2025-06-21
2025-06-23/2025-06-29,0.261,272,0.5301,0.5665,0.2721,2025-06-23,2025-06-29
2025-06-30/2025-07-06,-0.0688,3337,0.2603,0.7792,-0.1205,2025-06-30,2025-07-04
2025-07-07/2025-07-13,-0.0696,464,0.1457,0.7909,-0.3448,2025-07-07,2025-07-13
2025-07-14/2025-07-20,0.4017,98,0.6439,0.7082,0.5102,2025-07-14,2025-07-19
2025-07-21/2025-07-27,0.1464,710,0.762,0.7463,0.1901,2025-07-21,2025-07-25
2025-07-28/2025-08-03,0.0724,442,0.5034,0.6959,0.1131,2025-07-28,2025-08-03
2025-08-04/2025-08-10,0.1053,191,0.4565,0.7476,0.0995,2025-08-04,2025-08-10
2025-08-11/2025-08-17,0.1733,123,0.3285,0.7187,0.0569,2025-08-11,2025-08-16
2025-08-18/2025-08-24,0.2701,246,0.426,0.5821,0.3333,2025-08-18,2025-08-24
2025-08-25/2025-08-31,0.1483,764,0.5695,0.692,0.2853,2025-08-25,2025-08-30
2025-09-01/2025-09-07,0.1699,71,0.5563,0.5113,0.1831,2025-09-01,2025-09-07
2025-09-08/2025-09-14,0.1594,262,0.3305,0.6531,0.2786,2025-09-08,2025-09-14
2025-09-15/2025-09-21,0.1085,61,0.6197,0.7672,0.1475,2025-09-15,2025-09-21
2025-09-22/2025-09-28,0.0158,46,0.2826,0.5065,0.0217,2025-09-22,2025-09-28
2025-09-29/2025-10-05,0.3478,370,0.733,0.6692,0.5216,2025-09-29,2025-10-03
2025-10-06/2025-10-12,0.2736,308,0.4821,0.7286,0.2078,2025-10-06,2025-10-11
