week,Final_Sentiment,Num_News,Avg_Relevance,Avg_Trustfulness,Avg_Directional,Start_Date,End_Date
2024-10-14/2024-10-20,0.0,1,0.12,0.8,0.0,2024-10-18,2024-10-18
2024-10-21/2024-10-27,0.0,2,0.48,0.8,0.0,2024-10-24,2024-10-26
2024-10-28/2024-11-03,0.0,2,0.48,0.8,0.0,2024-10-29,2024-11-01
2024-11-04/2024-11-10,0.0337,138,0.4908,0.7565,-0.1377,2024-11-04,2024-11-10
2024-11-11/2024-11-17,0.0206,551,0.7755,0.7456,0.0599,2024-11-11,2024-11-16
2024-11-18/2024-11-24,0.0827,1,0.34,0.8,1.0,2024-11-18,2024-11-18
2024-11-25/2024-12-01,0.097,38,0.5984,0.8,0.2895,2024-11-25,2024-11-29
2024-12-02/2024-12-08,0.0,9,0.6,0.7444,0.0,2024-12-05,2024-12-06
2024-12-09/2024-12-15,-0.0924,1,0.75,0.3,-1.0,2024-12-15,2024-12-15
2024-12-16/2024-12-22,0.1863,9,0.72,0.8,0.4444,2024-12-21,2024-12-22
2024-12-23/2024-12-29,-0.0271,3,0.66,0.4667,-0.6667,2024-12-25,2024-12-27
2024-12-30/2025-01-05,0.0149,81,0.3959,0.6642,-0.0741,2025-01-02,2025-01-05
2025-01-06/2025-01-12,0.2034,214,0.5689,0.7883,0.5654,2025-01-06,2025-01-11
2025-01-13/2025-01-19,0.0433,18,0.61,0.3556,0.2778,2025-01-14,2025-01-18
2025-01-27/2025-02-02,0.1423,1,0.75,0.4,1.0,2025-01-27,2025-01-27
2025-02-03/2025-02-09,0.1423,1,0.75,0.4,1.0,2025-02-05,2025-02-05
2025-02-10/2025-02-16,0.0924,1,0.75,0.3,1.0,2025-02-11,2025-02-11
2025-02-24/2025-03-02,0.0,10,0.696,0.4,0.0,2025-02-25,2025-02-28
2025-03-03/2025-03-09,0.0439,10,0.816,0.44,0.4,2025-03-04,2025-03-09
2025-03-10/2025-03-16,0.1297,57,0.6244,0.6649,0.4737,2025-03-10,2025-03-15
2025-03-17/2025-03-23,0.1258,68,0.5097,0.6515,0.5735,2025-03-17,2025-03-23
2025-03-24/2025-03-30,0.0,3,0.6967,0.8,0.0,2025-03-25,2025-03-27
2025-03-31/2025-04-06,0.2425,17,0.5859,0.8,0.4706,2025-04-01,2025-04-03
2025-04-07/2025-04-13,-0.1525,12,0.4833,0.8,-0.25,2025-04-07,2025-04-13
2025-04-14/2025-04-20,0.0708,48,0.45,0.8,0.25,2025-04-17,2025-04-17
2025-04-21/2025-04-27,-0.0619,10,0.466,0.8,-0.3,2025-04-22,2025-04-24
2025-04-28/2025-05-04,0.1544,244,0.5975,0.7934,0.418,2025-04-28,2025-05-04
2025-05-05/2025-05-11,0.0441,29,0.5924,0.8,0.069,2025-05-06,2025-05-11
2025-05-12/2025-05-18,0.0774,176,0.7639,0.6693,0.1477,2025-05-12,2025-05-17
2025-05-19/2025-05-25,0.2034,28,0.6314,0.8,0.4286,2025-05-19,2025-05-22
2025-05-26/2025-06-01,0.3727,3,0.54,0.8,0.6667,2025-05-26,2025-05-30
2025-06-02/2025-06-08,0.0597,45,0.5244,0.72,0.1556,2025-06-02,2025-06-07
2025-06-09/2025-06-15,0.3141,60,0.6075,0.7917,0.85,2025-06-09,2025-06-15
2025-06-16/2025-06-22,-0.0295,28,0.7264,0.8,-0.1786,2025-06-16,2025-06-21
2025-06-23/2025-06-29,0.1642,12,0.6525,0.8,0.3333,2025-06-24,2025-06-29
2025-06-30/2025-07-06,0.0276,272,0.6271,0.7382,0.0699,2025-06-30,2025-07-04
2025-07-07/2025-07-13,0.1879,86,0.6824,0.7907,0.5349,2025-07-07,2025-07-12
2025-07-14/2025-07-20,-0.0749,47,0.5853,0.8,-0.1489,2025-07-15,2025-07-20
2025-07-21/2025-07-27,0.0428,16,0.595,0.8,0.125,2025-07-21,2025-07-27
2025-07-28/2025-08-03,0.0747,22,0.5341,0.6636,-0.0909,2025-07-28,2025-08-02
2025-08-04/2025-08-10,0.068,85,0.3788,0.6824,0.2235,2025-08-04,2025-08-10
2025-08-11/2025-08-17,0.1889,172,0.7423,0.8,0.407,2025-08-11,2025-08-16
2025-08-18/2025-08-24,-0.0585,254,0.5107,0.7213,-0.185,2025-08-18,2025-08-24
2025-08-25/2025-08-31,0.0209,45,0.4889,0.8,-0.0444,2025-08-25,2025-08-31
2025-09-01/2025-09-07,-0.1649,1,0.48,0.8,-1.0,2025-09-03,2025-09-03
2025-09-08/2025-09-14,0.2863,5,0.51,0.8,0.4,2025-09-09,2025-09-13
2025-09-15/2025-09-21,0.1719,98,0.4973,0.8,0.8061,2025-09-15,2025-09-21
2025-09-22/2025-09-28,0.0707,509,0.521,0.6821,0.224,2025-09-22,2025-09-26
2025-09-29/2025-10-05,0.188,319,0.5907,0.7781,0.5643,2025-09-29,2025-10-05
2025-10-06/2025-10-12,0.1009,1478,0.4571,0.7702,0.316,2025-10-06,2025-10-12
