week,Final_Sentiment,Num_News,Avg_Relevance,Avg_Trustfulness,Avg_Directional,Start_Date,End_Date
2024-10-14/2024-10-20,0.2573,72,0.5278,0.6889,0.8889,2024-10-19,2024-10-20
2024-10-21/2024-10-27,0.0964,30,0.564,0.6333,0.4,2024-10-22,2024-10-27
2024-10-28/2024-11-03,0.0612,141,0.5274,0.6085,0.2057,2024-10-28,2024-10-31
2024-11-04/2024-11-10,0.1671,95,0.4348,0.7105,0.7368,2024-11-04,2024-11-10
2024-11-11/2024-11-17,0.0193,261,0.6198,0.7981,0.0843,2024-11-12,2024-11-17
2024-11-18/2024-11-24,0.3188,8245,0.7258,0.7273,0.7261,2024-11-18,2024-11-23
2024-11-25/2024-12-01,0.1838,819,0.5746,0.6565,0.5971,2024-11-25,2024-11-30
2024-12-02/2024-12-08,0.0481,107,0.4501,0.6131,-0.1121,2024-12-02,2024-12-08
2024-12-09/2024-12-15,0.1244,31,0.5658,0.7516,0.3226,2024-12-09,2024-12-15
2024-12-16/2024-12-22,0.1356,57,0.4175,0.6772,0.5439,2024-12-16,2024-12-22
2024-12-23/2024-12-29,0.0,5,0.408,0.62,0.0,2024-12-23,2024-12-28
2024-12-30/2025-01-05,0.2267,34,0.5294,0.8,0.5882,2024-12-30,2025-01-04
2025-01-06/2025-01-12,0.0506,22,0.3491,0.55,0.5,2025-01-06,2025-01-09
2025-01-13/2025-01-19,0.061,9,0.6789,0.3111,0.5556,2025-01-13,2025-01-14
2025-01-20/2025-01-26,0.0,4,0.195,0.3,0.25,2025-01-22,2025-01-26
2025-01-27/2025-02-02,0.0,8,0.75,0.4,0.0,2025-01-27,2025-01-27
2025-02-03/2025-02-09,0.0128,15,0.1653,0.34,0.5333,2025-02-04,2025-02-07
2025-02-10/2025-02-16,0.0303,2,0.3,0.3,0.5,2025-02-10,2025-02-12
2025-02-17/2025-02-23,0.0742,11,0.5636,0.3,0.6364,2025-02-19,2025-02-22
2025-02-24/2025-03-02,0.0498,234,0.6612,0.3385,0.406,2025-02-24,2025-02-27
2025-03-03/2025-03-09,0.0572,28,0.6993,0.5357,0.25,2025-03-03,2025-03-09
2025-03-10/2025-03-16,-0.0242,55,0.5058,0.5818,-0.0727,2025-03-11,2025-03-14
2025-03-17/2025-03-23,0.121,13,0.3285,0.8,0.5385,2025-03-18,2025-03-21
2025-03-24/2025-03-30,0.138,37,0.4454,0.5568,0.4054,2025-03-24,2025-03-28
2025-03-31/2025-04-06,0.0815,143,0.5978,0.6217,0.2238,2025-03-31,2025-04-06
2025-04-07/2025-04-13,0.1625,19,0.5026,0.8,0.5263,2025-04-07,2025-04-10
2025-04-14/2025-04-20,0.1512,39,0.499,0.8,0.5641,2025-04-14,2025-04-18
2025-04-21/2025-04-27,0.2334,18,0.5322,0.8,0.9444,2025-04-21,2025-04-26
2025-04-28/2025-05-04,0.3234,19,0.6816,0.6947,0.7368,2025-04-29,2025-05-02
2025-05-05/2025-05-11,0.2224,406,0.4409,0.6608,0.8399,2025-05-05,2025-05-11
2025-05-12/2025-05-18,0.1215,226,0.4025,0.7956,0.3274,2025-05-13,2025-05-18
2025-05-19/2025-05-25,0.135,16084,0.7365,0.6518,0.3306,2025-05-19,2025-05-23
2025-05-26/2025-06-01,0.2279,165,0.6413,0.7733,0.6,2025-05-26,2025-06-01
2025-06-02/2025-06-08,0.2566,2407,0.693,0.626,0.715,2025-06-03,2025-06-08
2025-06-09/2025-06-15,0.1751,168,0.4648,0.7548,0.4762,2025-06-10,2025-06-15
2025-06-16/2025-06-22,0.1348,254,0.4456,0.7252,0.4488,2025-06-16,2025-06-21
2025-06-23/2025-06-29,0.2021,324,0.577,0.6827,0.4198,2025-06-23,2025-06-28
2025-06-30/2025-07-06,0.1593,63,0.3959,0.7111,0.2063,2025-06-30,2025-07-04
2025-07-07/2025-07-13,0.3076,332,0.5019,0.6961,0.756,2025-07-07,2025-07-12
2025-07-14/2025-07-20,0.1028,186,0.3567,0.7758,0.7204,2025-07-15,2025-07-18
2025-07-21/2025-07-27,0.2483,409,0.5476,0.7743,0.8166,2025-07-21,2025-07-27
2025-07-28/2025-08-03,0.202,556,0.5824,0.7397,0.5486,2025-07-28,2025-08-02
2025-08-04/2025-08-10,0.1775,101,0.4873,0.7356,0.4851,2025-08-04,2025-08-08
2025-08-11/2025-08-17,0.2434,230,0.4918,0.7739,0.7217,2025-08-11,2025-08-16
2025-08-18/2025-08-24,0.1328,1317,0.4128,0.6664,0.347,2025-08-18,2025-08-24
2025-08-25/2025-08-31,0.2358,24670,0.6306,0.7437,0.5298,2025-08-25,2025-08-31
2025-09-01/2025-09-07,0.0276,906,0.4609,0.7868,0.0817,2025-09-01,2025-09-06
2025-09-08/2025-09-14,0.2448,1621,0.6135,0.7676,0.5355,2025-09-08,2025-09-12
2025-09-15/2025-09-21,0.2475,397,0.4633,0.7043,0.7456,2025-09-15,2025-09-21
2025-09-22/2025-09-28,0.1956,1037,0.5256,0.7831,0.594,2025-09-22,2025-09-27
2025-09-29/2025-10-05,0.3635,1502,0.6212,0.8,0.9574,2025-09-29,2025-10-05
2025-10-06/2025-10-12,0.1851,557,0.437,0.7623,0.6499,2025-10-07,2025-10-11
