week,Final_Sentiment,Num_News,Avg_Relevance,Avg_Trustfulness,Avg_Directional,Start_Date,End_Date
2024-10-14/2024-10-20,0.4056,1071,0.4963,0.7015,0.6284,2024-10-18,2024-10-20
2024-10-21/2024-10-27,0.2228,809,0.5277,0.7244,0.3164,2024-10-21,2024-10-27
2024-10-28/2024-11-03,0.3725,2448,0.577,0.6998,0.473,2024-10-28,2024-11-03
2024-11-04/2024-11-10,0.3772,2927,0.4478,0.7056,0.4728,2024-11-04,2024-11-09
2024-11-11/2024-11-17,0.3018,2254,0.4799,0.6982,0.3279,2024-11-11,2024-11-17
2024-11-18/2024-11-24,0.2608,2739,0.4453,0.6175,0.3782,2024-11-18,2024-11-24
2024-11-25/2024-12-01,0.2454,774,0.3404,0.5855,0.2455,2024-11-25,2024-12-01
2024-12-02/2024-12-08,0.3226,7723,0.5053,0.6747,0.4678,2024-12-02,2024-12-08
2024-12-09/2024-12-15,0.4597,74878,0.7474,0.6899,0.6052,2024-12-09,2024-12-15
2024-12-16/2024-12-22,0.3664,86932,0.6282,0.7379,0.515,2024-12-16,2024-12-22
2024-12-23/2024-12-29,0.3579,13105,0.495,0.7113,0.4968,2024-12-23,2024-12-29
2024-12-30/2025-01-05,0.2329,8922,0.3815,0.6975,0.3304,2024-12-30,2025-01-05
2025-01-06/2025-01-12,0.2862,16075,0.4205,0.6678,0.4819,2025-01-06,2025-01-11
2025-01-13/2025-01-19,0.1867,1034,0.1666,0.5901,0.0648,2025-01-13,2025-01-19
2025-01-20/2025-01-26,0.1356,742,0.1597,0.5749,0.2116,2025-01-20,2025-01-26
2025-01-27/2025-02-02,0.0541,13840,0.5267,0.6765,0.083,2025-01-27,2025-02-02
2025-02-03/2025-02-09,0.0807,2616,0.1779,0.5234,0.0906,2025-02-03,2025-02-08
2025-02-10/2025-02-16,0.227,557,0.1978,0.4174,0.1795,2025-02-10,2025-02-16
2025-02-17/2025-02-23,0.11,5724,0.2206,0.5246,0.1586,2025-02-17,2025-02-23
2025-02-24/2025-03-02,0.0187,1177,0.2476,0.5002,0.0416,2025-02-24,2025-03-01
2025-03-03/2025-03-09,0.1922,38429,0.607,0.6374,0.2501,2025-03-03,2025-03-09
2025-03-10/2025-03-16,0.2387,5090,0.3643,0.605,0.3882,2025-03-10,2025-03-16
2025-03-17/2025-03-23,0.1469,7426,0.3161,0.6253,0.2759,2025-03-17,2025-03-23
2025-03-24/2025-03-30,0.2126,12046,0.3457,0.6939,0.308,2025-03-24,2025-03-30
2025-03-31/2025-04-06,0.2043,7687,0.4249,0.6079,0.3172,2025-03-31,2025-04-06
2025-04-07/2025-04-13,0.2899,13224,0.5281,0.7383,0.3888,2025-04-07,2025-04-13
2025-04-14/2025-04-20,0.2094,4617,0.515,0.7768,0.3327,2025-04-14,2025-04-19
2025-04-21/2025-04-27,0.3619,1905,0.6059,0.8127,0.4577,2025-04-21,2025-04-27
2025-04-28/2025-05-04,0.2004,7502,0.3324,0.6757,0.2499,2025-04-28,2025-05-04
2025-05-05/2025-05-11,0.1014,10593,0.2744,0.6202,0.1729,2025-05-05,2025-05-11
2025-05-12/2025-05-18,0.2915,6309,0.4139,0.6369,0.4384,2025-05-12,2025-05-18
2025-05-19/2025-05-25,0.3541,6715,0.3743,0.6575,0.4512,2025-05-19,2025-05-24
2025-05-26/2025-06-01,0.2932,16654,0.5416,0.6491,0.4554,2025-05-26,2025-06-01
2025-06-02/2025-06-08,0.3384,121456,0.5869,0.6942,0.4776,2025-06-02,2025-06-08
2025-06-09/2025-06-15,0.233,4923,0.4368,0.5932,0.3906,2025-06-09,2025-06-15
2025-06-16/2025-06-22,0.3664,3863,0.4468,0.7281,0.4691,2025-06-16,2025-06-22
2025-06-23/2025-06-29,0.3632,15356,0.4111,0.7016,0.5513,2025-06-23,2025-06-29
2025-06-30/2025-07-06,0.3056,13450,0.3072,0.7046,0.4775,2025-06-30,2025-07-06
2025-07-07/2025-07-13,0.1853,11385,0.3019,0.6877,0.3126,2025-07-07,2025-07-13
2025-07-14/2025-07-20,0.3024,7264,0.3719,0.6828,0.5048,2025-07-14,2025-07-20
2025-07-21/2025-07-27,0.1373,13275,0.3818,0.6884,0.2425,2025-07-21,2025-07-27
2025-07-28/2025-08-03,0.2069,6398,0.3767,0.6272,0.3425,2025-07-28,2025-08-02
2025-08-04/2025-08-10,0.2877,14982,0.4285,0.7129,0.4385,2025-08-04,2025-08-10
2025-08-11/2025-08-17,0.3008,7361,0.3298,0.7183,0.4248,2025-08-11,2025-08-17
2025-08-18/2025-08-24,-0.1113,34822,0.1615,0.7448,-0.1744,2025-08-18,2025-08-24
2025-08-25/2025-08-31,0.2303,49357,0.4589,0.7377,0.3693,2025-08-25,2025-08-31
2025-09-01/2025-09-07,0.3656,130254,0.5817,0.7324,0.5003,2025-09-01,2025-09-07
2025-09-08/2025-09-14,0.4415,70379,0.5621,0.752,0.6411,2025-09-08,2025-09-14
2025-09-15/2025-09-21,0.3349,27993,0.3897,0.7024,0.4886,2025-09-15,2025-09-21
2025-09-22/2025-09-28,0.4209,16755,0.3717,0.7352,0.6642,2025-09-22,2025-09-28
2025-09-29/2025-10-05,0.3024,21696,0.282,0.7407,0.4953,2025-09-29,2025-10-05
2025-10-06/2025-10-12,0.2876,19468,0.3571,0.7165,0.513,2025-10-06,2025-10-12
