week,Final_Sentiment,Num_News,Avg_Relevance,Avg_Trustfulness,Avg_Directional,Start_Date,End_Date
2024-10-14/2024-10-20,-0.0388,3,0.3667,0.4667,-0.3333,2024-10-18,2024-10-20
2024-10-21/2024-10-27,0.1727,145,0.4683,0.331,0.5793,2024-10-21,2024-10-27
2024-10-28/2024-11-03,0.7012,4,0.425,0.675,0.5,2024-10-30,2024-11-03
2024-11-04/2024-11-10,0.1189,247,0.7563,0.6158,0.1903,2024-11-04,2024-11-10
2024-11-11/2024-11-17,0.0,5,0.2,0.6,0.0,2024-11-11,2024-11-15
2024-11-18/2024-11-24,0.2178,165,0.5297,0.5879,0.3818,2024-11-18,2024-11-24
2024-11-25/2024-12-01,0.054,76,0.2566,0.3658,0.0658,2024-11-25,2024-12-01
2024-12-02/2024-12-08,0.1239,12,0.3333,0.5917,0.5,2024-12-03,2024-12-08
2024-12-09/2024-12-15,0.6737,5,0.3,0.4,0.0,2024-12-09,2024-12-15
2024-12-16/2024-12-22,-0.0625,65,0.3954,0.5923,0.0154,2024-12-17,2024-12-22
2024-12-23/2024-12-29,0.1167,75,0.4253,0.4333,0.2667,2024-12-23,2024-12-29
2024-12-30/2025-01-05,0.4308,88,0.5682,0.55,0.6364,2024-12-31,2025-01-05
2025-01-06/2025-01-12,0.292,10,0.5,0.5,0.4,2025-01-06,2025-01-12
2025-01-13/2025-01-19,0.0,11,0.4091,0.3,0.0,2025-01-14,2025-01-19
2025-01-20/2025-01-26,0.1792,30,0.7533,0.3,0.6,2025-01-20,2025-01-25
2025-01-27/2025-02-02,0.237,96,0.4208,0.4042,0.25,2025-01-28,2025-02-02
2025-02-03/2025-02-09,0.2912,25,0.352,0.56,0.2,2025-02-04,2025-02-07
2025-02-10/2025-02-16,0.25,34,0.2853,0.55,0.2353,2025-02-10,2025-02-16
2025-02-17/2025-02-23,0.0258,13,0.5615,0.4538,0.0769,2025-02-17,2025-02-23
2025-02-24/2025-03-02,0.4756,57,0.2789,0.6246,0.4737,2025-02-25,2025-03-02
2025-03-03/2025-03-09,0.0,2,0.4,0.55,0.0,2025-03-05,2025-03-07
2025-03-10/2025-03-16,0.2755,38,0.6158,0.3789,0.4211,2025-03-10,2025-03-16
2025-03-17/2025-03-23,0.1805,20,0.465,0.4,0.3,2025-03-18,2025-03-23
2025-03-24/2025-03-30,0.2504,10,0.54,0.35,0.1,2025-03-24,2025-03-27
2025-03-31/2025-04-06,0.0664,37,0.3973,0.6649,0.2432,2025-04-01,2025-04-06
2025-04-07/2025-04-13,0.6708,10,0.83,0.8,0.9,2025-04-08,2025-04-11
2025-04-14/2025-04-20,0.1785,28,0.4464,0.6393,0.3571,2025-04-16,2025-04-18
2025-04-21/2025-04-27,0.0,20,0.35,0.525,0.0,2025-04-21,2025-04-27
2025-04-28/2025-05-04,0.1292,93,0.6634,0.6226,0.2151,2025-04-28,2025-05-03
2025-05-05/2025-05-11,0.2107,18,0.7722,0.6611,0.3889,2025-05-05,2025-05-08
2025-05-12/2025-05-18,0.5976,3,0.7,0.6333,1.0,2025-05-13,2025-05-16
2025-05-19/2025-05-25,0.0557,3,0.4,0.4667,0.3333,2025-05-19,2025-05-24
2025-05-26/2025-06-01,0.0993,32,0.4406,0.5031,0.375,2025-05-26,2025-06-01
2025-06-02/2025-06-08,0.0426,66,0.3288,0.55,0.0152,2025-06-02,2025-06-06
2025-06-09/2025-06-15,0.4341,37,0.3919,0.7324,0.6216,2025-06-09,2025-06-14
2025-06-16/2025-06-22,0.5618,11,0.8,0.7545,0.7273,2025-06-16,2025-06-22
2025-06-23/2025-06-29,0.1454,30,0.5333,0.45,0.3,2025-06-23,2025-06-26
2025-06-30/2025-07-06,0.0,2,0.75,0.55,0.0,2025-06-30,2025-07-05
2025-07-07/2025-07-13,0.0484,11,0.2818,0.3,0.3636,2025-07-07,2025-07-12
2025-07-14/2025-07-20,0.1655,11,0.5091,0.3909,0.4545,2025-07-15,2025-07-19
2025-07-21/2025-07-27,0.342,11,0.3909,0.5273,0.4545,2025-07-21,2025-07-26
2025-07-28/2025-08-03,0.2677,29,0.5966,0.4724,0.6552,2025-07-29,2025-08-03
2025-08-04/2025-08-10,-0.0155,10,0.71,0.6,-0.3,2025-08-05,2025-08-07
2025-08-11/2025-08-17,0.0,2,0.3,0.3,0.0,2025-08-13,2025-08-14
2025-08-18/2025-08-24,0.2721,9,0.5889,0.5222,0.4444,2025-08-19,2025-08-23
2025-08-25/2025-08-31,0.25,17,0.3529,0.3294,0.6471,2025-08-26,2025-08-29
2025-09-01/2025-09-07,0.0,3,0.0333,0.3,0.0,2025-09-04,2025-09-06
2025-09-08/2025-09-14,0.3106,10,0.45,0.5,0.4,2025-09-09,2025-09-12
2025-09-15/2025-09-21,0.0,2,0.25,0.3,0.0,2025-09-19,2025-09-20
2025-09-22/2025-09-28,0.1948,31,0.6323,0.4452,0.3226,2025-09-22,2025-09-28
2025-09-29/2025-10-05,0.3,1,1.0,0.3,1.0,2025-10-02,2025-10-02
2025-10-06/2025-10-12,0.0,9,0.1,0.3,0.0,2025-10-06,2025-10-09
