week,Final_Sentiment,Num_News,Avg_Relevance,Avg_Trustfulness,Avg_Directional,Start_Date,End_Date
2024-10-14/2024-10-20,-0.1916,28,0.325,0.4786,-0.3214,2024-10-18,2024-10-19
2024-10-21/2024-10-27,0.2843,759,0.8914,0.5646,0.4374,2024-10-22,2024-10-26
2024-10-28/2024-11-03,0.1745,17,0.7176,0.6118,0.2353,2024-10-28,2024-11-01
2024-11-04/2024-11-10,0.0,1,1.0,0.9,0.0,2024-11-04,2024-11-04
2024-11-11/2024-11-17,0.0,18,0.6722,0.4778,0.0,2024-11-12,2024-11-15
2024-11-18/2024-11-24,0.3194,46,0.2652,0.4413,0.087,2024-11-19,2024-11-24
2024-11-25/2024-12-01,-0.1138,57,0.3158,0.4737,-0.1579,2024-11-25,2024-11-30
2024-12-02/2024-12-08,0.0,18,0.2667,0.3111,0.0,2024-12-03,2024-12-06
2024-12-09/2024-12-15,-0.0886,81,0.7037,0.5,-0.0494,2024-12-10,2024-12-14
2024-12-16/2024-12-22,-0.0925,5,0.66,0.62,0.0,2024-12-16,2024-12-22
2024-12-23/2024-12-29,-0.3816,11,0.8182,0.7455,-0.3636,2024-12-23,2024-12-29
2024-12-30/2025-01-05,-0.2667,9,1.0,0.8,-0.3333,2025-01-03,2025-01-04
2025-01-06/2025-01-12,-0.1848,18,0.7778,0.6833,-0.1111,2025-01-06,2025-01-10
2025-01-13/2025-01-19,0.0602,107,0.5383,0.3383,0.1869,2025-01-13,2025-01-16
2025-01-20/2025-01-26,0.0557,7,0.2,0.4,0.1429,2025-01-20,2025-01-26
2025-01-27/2025-02-02,-0.251,1472,0.8682,0.6027,-0.3682,2025-01-29,2025-02-01
2025-02-03/2025-02-09,-0.167,89,0.564,0.6472,-0.1798,2025-02-04,2025-02-09
2025-02-10/2025-02-16,-0.1071,26,0.5154,0.6308,-0.1538,2025-02-10,2025-02-14
2025-02-17/2025-02-23,0.1,290,0.239,0.3569,0.0552,2025-02-17,2025-02-23
2025-02-24/2025-03-02,-0.1114,82,0.4049,0.5073,0.1341,2025-02-24,2025-03-01
2025-03-03/2025-03-09,-0.2286,18,0.3333,0.3556,-0.0556,2025-03-04,2025-03-08
2025-03-10/2025-03-16,-0.1631,102,0.5824,0.5706,-0.2549,2025-03-10,2025-03-15
2025-03-17/2025-03-23,0.1802,25,0.44,0.4,0.2,2025-03-20,2025-03-23
2025-03-24/2025-03-30,0.249,18,0.5667,0.5556,0.4444,2025-03-25,2025-03-30
2025-03-31/2025-04-06,0.0397,45,0.4911,0.5667,0.1556,2025-03-31,2025-04-06
2025-04-07/2025-04-13,-0.2369,17,0.9882,0.7294,-0.2353,2025-04-09,2025-04-11
2025-04-14/2025-04-20,0.3816,10,0.9,0.84,0.4,2025-04-14,2025-04-17
2025-04-21/2025-04-27,0.3092,224,0.8804,0.7777,0.4375,2025-04-21,2025-04-24
2025-04-28/2025-05-04,-0.0416,100,0.558,0.51,0.03,2025-04-28,2025-05-02
2025-05-05/2025-05-11,0.0587,253,0.4435,0.7206,-0.0711,2025-05-06,2025-05-10
2025-05-12/2025-05-18,0.2352,36,0.6694,0.575,0.3611,2025-05-12,2025-05-16
2025-05-19/2025-05-25,-0.2031,29,0.5931,0.6276,-0.3103,2025-05-19,2025-05-23
2025-05-26/2025-06-01,0.2415,128,0.3633,0.5031,0.3984,2025-05-28,2025-05-31
2025-06-02/2025-06-08,-0.0109,219,0.3662,0.732,-0.0046,2025-06-02,2025-06-05
2025-06-09/2025-06-15,0.0,4,0.25,0.725,0.0,2025-06-10,2025-06-14
2025-06-16/2025-06-22,0.0,5,0.7,0.72,0.0,2025-06-17,2025-06-22
2025-06-23/2025-06-29,-0.0842,44,0.5,0.7182,-0.0909,2025-06-25,2025-06-29
2025-06-30/2025-07-06,0.2915,19,0.7368,0.6895,0.3158,2025-06-30,2025-07-06
2025-07-07/2025-07-13,0.2013,18,0.5111,0.6833,0.5,2025-07-08,2025-07-13
2025-07-14/2025-07-20,0.0288,31,0.4452,0.6387,-0.2258,2025-07-15,2025-07-19
2025-07-21/2025-07-27,-0.0991,721,0.6757,0.77,-0.1429,2025-07-21,2025-07-27
2025-07-28/2025-08-03,0.3902,169,0.4615,0.7882,0.6213,2025-07-28,2025-08-02
2025-08-04/2025-08-10,0.2193,63,0.346,0.5063,0.2698,2025-08-04,2025-08-08
2025-08-11/2025-08-17,0.4483,134,0.5619,0.6843,0.5373,2025-08-12,2025-08-17
2025-08-18/2025-08-24,0.4,10,0.2,0.4,0.1,2025-08-18,2025-08-22
2025-08-25/2025-08-31,0.2446,37,0.3,0.6649,0.4865,2025-08-25,2025-08-28
2025-09-01/2025-09-07,0.4267,11,0.9091,0.7636,0.4545,2025-09-02,2025-09-07
2025-09-08/2025-09-14,0.3032,18,0.4222,0.7722,0.2778,2025-09-08,2025-09-12
2025-09-15/2025-09-21,0.2808,18,0.5222,0.7722,0.3889,2025-09-15,2025-09-20
2025-09-22/2025-09-28,-0.0259,25,0.592,0.8,-0.12,2025-09-22,2025-09-27
2025-09-29/2025-10-05,0.3926,64,0.8062,0.7297,0.4844,2025-09-30,2025-10-05
2025-10-06/2025-10-12,-0.4,9,0.4444,0.8,-0.3333,2025-10-07,2025-10-09
