week,Final_Sentiment,Num_News,Avg_Relevance,Avg_Trustfulness,Avg_Directional,Start_Date,End_Date
2024-10-14/2024-10-20,-0.3556,9,1.0,0.8,-0.4444,2024-10-18,2024-10-19
2024-10-21/2024-10-27,-0.3509,4168,0.799,0.632,-0.495,2024-10-21,2024-10-27
2024-10-28/2024-11-03,-0.25,19,0.6842,0.6684,-0.2632,2024-10-28,2024-11-01
2024-11-04/2024-11-10,-0.5814,264,0.4186,0.7909,-0.6477,2024-11-04,2024-11-10
2024-11-11/2024-11-17,0.2407,64,0.675,0.7922,0.3125,2024-11-11,2024-11-16
2024-11-18/2024-11-24,-0.0355,26,0.7692,0.7808,0.0769,2024-11-18,2024-11-22
2024-11-25/2024-12-01,0.5,5,0.4,0.4,0.0,2024-11-26,2024-11-30
2024-12-02/2024-12-08,0.1587,40,0.4125,0.5125,0.25,2024-12-02,2024-12-08
2024-12-09/2024-12-15,-0.0919,109,0.4018,0.7367,-0.1927,2024-12-09,2024-12-14
2024-12-16/2024-12-22,-0.0549,157,0.7389,0.5268,-0.2293,2024-12-16,2024-12-21
2024-12-23/2024-12-29,0.258,20,0.87,0.62,0.25,2024-12-23,2024-12-29
2024-12-30/2025-01-05,-0.085,18,0.7333,0.5778,-0.2778,2024-12-30,2025-01-04
2025-01-06/2025-01-12,0.3644,38,0.8579,0.7474,0.4737,2025-01-06,2025-01-11
2025-01-13/2025-01-19,-0.0216,29,0.6897,0.369,-0.0345,2025-01-13,2025-01-17
2025-01-20/2025-01-26,0.0467,4,1.0,0.375,0.0,2025-01-20,2025-01-24
2025-01-27/2025-02-02,0.314,9,0.7778,0.3556,1.0,2025-01-27,2025-01-30
2025-02-03/2025-02-09,0.3194,245,0.8163,0.6967,0.4041,2025-02-03,2025-02-07
2025-02-10/2025-02-16,0.0,2,0.5,0.9,0.5,2025-02-13,2025-02-14
2025-02-17/2025-02-23,0.5706,3,0.6667,0.8333,0.6667,2025-02-20,2025-02-22
2025-02-24/2025-03-02,-0.1624,5,0.96,0.82,-0.2,2025-02-24,2025-03-02
2025-03-03/2025-03-09,0.1108,139,0.6043,0.7367,0.1295,2025-03-03,2025-03-09
2025-03-10/2025-03-16,0.6444,11,0.5455,0.7455,0.7273,2025-03-10,2025-03-14
2025-03-17/2025-03-23,0.5021,11,0.5273,0.8,0.5455,2025-03-18,2025-03-23
2025-03-24/2025-03-30,0.2054,100,0.668,0.68,0.28,2025-03-25,2025-03-28
2025-03-31/2025-04-06,0.3239,27,0.7704,0.7852,0.4444,2025-04-01,2025-04-06
2025-04-07/2025-04-13,0.3012,37,0.8514,0.8,0.4324,2025-04-07,2025-04-11
2025-04-14/2025-04-20,-0.1516,55,0.9673,0.8,-0.1636,2025-04-15,2025-04-18
2025-04-21/2025-04-27,-0.2033,4134,0.6496,0.8217,-0.2567,2025-04-21,2025-04-26
2025-04-28/2025-05-04,0.251,135,0.763,0.6926,0.3481,2025-04-28,2025-05-02
2025-05-05/2025-05-11,0.4166,12,0.7667,0.775,0.5833,2025-05-05,2025-05-10
2025-05-12/2025-05-18,-0.102,64,0.8516,0.75,-0.125,2025-05-12,2025-05-18
2025-05-19/2025-05-25,-0.4735,1146,0.3068,0.653,-0.6667,2025-05-19,2025-05-25
2025-05-26/2025-06-01,0.0542,11,0.6364,0.6545,0.2727,2025-05-26,2025-05-30
2025-06-02/2025-06-08,-0.56,31,0.0968,0.6548,-0.0323,2025-06-02,2025-06-06
2025-06-09/2025-06-15,-0.375,17,0.2353,0.7294,-0.4706,2025-06-09,2025-06-11
2025-06-16/2025-06-22,-0.4725,5617,0.3857,0.7891,-0.6539,2025-06-16,2025-06-22
2025-06-23/2025-06-29,0.2696,432,0.5484,0.7329,0.3843,2025-06-24,2025-06-28
2025-06-30/2025-07-06,-0.0038,1821,0.3997,0.7158,-0.0313,2025-06-30,2025-07-04
2025-07-07/2025-07-13,-0.2776,1709,0.4311,0.762,-0.4213,2025-07-07,2025-07-10
2025-07-14/2025-07-20,-0.1498,133,0.5955,0.7398,-0.2256,2025-07-14,2025-07-20
2025-07-21/2025-07-27,-0.3878,2351,0.9093,0.7281,-0.5142,2025-07-21,2025-07-25
2025-07-28/2025-08-03,0.2435,37,0.7351,0.8,0.3784,2025-07-28,2025-08-01
2025-08-04/2025-08-10,0.2387,65,0.7892,0.6615,0.3231,2025-08-04,2025-08-10
2025-08-11/2025-08-17,0.0979,52,0.6288,0.8,0.0962,2025-08-11,2025-08-16
2025-08-18/2025-08-24,0.3068,924,0.2208,0.7794,0.6342,2025-08-18,2025-08-23
2025-08-25/2025-08-31,0.6,4,1.0,0.8,0.75,2025-08-25,2025-08-28
2025-09-01/2025-09-07,-0.0967,19,0.3895,0.6947,-0.1579,2025-09-02,2025-09-07
2025-09-08/2025-09-14,-0.0504,568,0.2694,0.7965,0.0158,2025-09-08,2025-09-12
2025-09-15/2025-09-21,0.0889,38,0.9947,0.7474,0.1579,2025-09-16,2025-09-21
2025-09-22/2025-09-28,0.0,2,1.0,0.8,0.0,2025-09-22,2025-09-24
2025-09-29/2025-10-05,0.3788,12,0.8167,0.8,0.4167,2025-09-29,2025-10-03
2025-10-06/2025-10-12,-0.2208,38,0.9947,0.5632,-0.4737,2025-10-06,2025-10-11
