week,Final_Sentiment,Num_News,Avg_Relevance,Avg_Trustfulness,Avg_Directional,Start_Date,End_Date
2024-10-14/2024-10-20,0.3097,17,0.5294,0.6824,0.4118,2024-10-18,2024-10-20
2024-10-21/2024-10-27,0.1225,170,0.6359,0.7365,0.2235,2024-10-21,2024-10-27
2024-10-28/2024-11-03,-0.3719,2270,0.9532,0.68,-0.526,2024-10-28,2024-11-01
2024-11-04/2024-11-10,-0.4122,955,0.2472,0.8373,-0.623,2024-11-04,2024-11-10
2024-11-11/2024-11-17,0.2783,18,0.2333,0.5611,0.0556,2024-11-12,2024-11-16
2024-11-18/2024-11-24,0.2083,33,0.9152,0.7848,0.3939,2024-11-18,2024-11-23
2024-11-25/2024-12-01,0.0324,36,0.5222,0.5889,0.1389,2024-11-27,2024-11-29
2024-12-02/2024-12-08,0.3734,46,0.713,0.6152,0.4565,2024-12-02,2024-12-07
2024-12-09/2024-12-15,0.7919,12,0.7417,0.775,0.75,2024-12-09,2024-12-14
2024-12-16/2024-12-22,0.0,29,0.9655,0.7069,0.0,2024-12-16,2024-12-20
2024-12-23/2024-12-29,-0.219,11,0.5273,0.7909,-0.1818,2024-12-23,2024-12-27
2024-12-30/2025-01-05,-0.3374,26,0.5308,0.8308,0.0769,2024-12-30,2025-01-04
2025-01-06/2025-01-12,0.8529,2,1.0,0.85,1.0,2025-01-07,2025-01-08
2025-01-13/2025-01-19,0.4714,11,0.4545,0.4091,0.5455,2025-01-13,2025-01-17
2025-01-20/2025-01-26,0.1452,2,0.9,0.35,0.5,2025-01-21,2025-01-24
2025-01-27/2025-02-02,-0.3626,9,0.9444,0.6111,-0.4444,2025-01-28,2025-01-30
2025-02-03/2025-02-09,0.432,16,0.625,0.775,0.5,2025-02-05,2025-02-07
2025-02-10/2025-02-16,0.0,8,1.0,0.9,0.0,2025-02-11,2025-02-11
2025-02-17/2025-02-23,0.0,9,1.0,0.5778,0.0,2025-02-19,2025-02-21
2025-02-24/2025-03-02,0.1686,1557,0.9887,0.6433,0.2331,2025-02-25,2025-03-01
2025-03-03/2025-03-09,0.1429,11,0.8636,0.6182,0.1818,2025-03-03,2025-03-07
2025-03-10/2025-03-16,-0.3886,3,0.9333,0.8,-0.3333,2025-03-10,2025-03-15
2025-03-17/2025-03-23,0.1013,38,0.5921,0.8237,0.1316,2025-03-17,2025-03-23
2025-03-24/2025-03-30,0.3136,83,0.6506,0.6072,0.494,2025-03-24,2025-03-29
2025-03-31/2025-04-06,0.2329,81,0.2716,0.6037,0.2963,2025-04-01,2025-04-05
2025-04-07/2025-04-13,0.4305,102,0.6706,0.5951,0.6961,2025-04-07,2025-04-12
2025-04-14/2025-04-20,0.1528,55,0.5436,0.8,0.1818,2025-04-15,2025-04-18
2025-04-21/2025-04-27,0.3141,898,0.459,0.7894,0.5145,2025-04-22,2025-04-26
2025-04-28/2025-05-04,-0.3226,2944,0.7435,0.794,-0.3916,2025-04-28,2025-05-03
2025-05-05/2025-05-11,0.2581,108,0.5991,0.7667,0.3241,2025-05-05,2025-05-09
2025-05-12/2025-05-18,0.4133,2097,0.6152,0.7924,0.5517,2025-05-13,2025-05-18
2025-05-19/2025-05-25,-0.3768,749,0.4258,0.739,-0.5874,2025-05-20,2025-05-24
2025-05-26/2025-06-01,-0.0273,72,0.6208,0.7375,0.0,2025-05-26,2025-06-01
2025-06-02/2025-06-08,0.1711,343,0.4889,0.695,0.0029,2025-06-02,2025-06-06
2025-06-09/2025-06-15,-0.0133,162,0.5833,0.8062,-0.0309,2025-06-09,2025-06-13
2025-06-16/2025-06-22,-0.2592,3088,0.4013,0.7847,-0.456,2025-06-17,2025-06-22
2025-06-23/2025-06-29,0.1983,172,0.382,0.7628,0.2965,2025-06-23,2025-06-28
2025-06-30/2025-07-06,0.0311,1384,0.2597,0.8,0.0542,2025-06-30,2025-07-05
2025-07-07/2025-07-13,-0.2469,3953,0.3016,0.7898,-0.3784,2025-07-07,2025-07-12
2025-07-14/2025-07-20,0.1482,154,0.5916,0.7708,0.1429,2025-07-14,2025-07-19
2025-07-21/2025-07-27,0.1736,75,0.72,0.8213,0.1867,2025-07-22,2025-07-26
2025-07-28/2025-08-03,0.6144,601,0.9594,0.8,0.7604,2025-07-28,2025-08-02
2025-08-04/2025-08-10,0.2871,162,0.3852,0.716,0.2593,2025-08-05,2025-08-10
2025-08-11/2025-08-17,0.3152,324,0.6228,0.6068,0.5062,2025-08-11,2025-08-16
2025-08-18/2025-08-24,0.216,2648,0.2785,0.7736,0.273,2025-08-18,2025-08-23
2025-08-25/2025-08-31,0.0209,10,0.6,0.75,0.1,2025-08-25,2025-08-29
2025-09-01/2025-09-07,0.4735,19,0.4316,0.5368,0.7368,2025-09-01,2025-09-06
2025-09-08/2025-09-14,0.1333,3,0.5,0.6333,0.3333,2025-09-08,2025-09-12
2025-09-15/2025-09-21,0.4938,67,0.6045,0.8,0.7313,2025-09-16,2025-09-19
2025-09-22/2025-09-28,0.0,12,0.25,0.7167,0.0833,2025-09-22,2025-09-28
2025-09-29/2025-10-05,0.2099,4,0.9,0.675,0.5,2025-09-29,2025-10-04
2025-10-06/2025-10-12,0.2263,34,0.8647,0.7853,0.3235,2025-10-06,2025-10-11
