week,Final_Sentiment,Num_News,Avg_Relevance,Avg_Trustfulness,Avg_Directional,Start_Date,End_Date
2024-10-14/2024-10-20,0.1491,349,0.4335,0.4862,0.2894,2024-10-18,2024-10-20
2024-10-21/2024-10-27,0.0322,4159,0.5727,0.6957,0.0567,2024-10-21,2024-10-27
2024-10-28/2024-11-03,-0.0343,41643,0.6991,0.6645,-0.0634,2024-10-28,2024-11-03
2024-11-04/2024-11-10,0.117,4649,0.4159,0.6737,0.194,2024-11-04,2024-11-10
2024-11-11/2024-11-17,0.0209,3611,0.4337,0.6629,0.1205,2024-11-11,2024-11-17
2024-11-18/2024-11-24,0.2056,6622,0.5423,0.5927,0.2646,2024-11-18,2024-11-24
2024-11-25/2024-12-01,0.0554,12810,0.2873,0.7003,0.0617,2024-11-25,2024-11-30
2024-12-02/2024-12-08,0.4356,7927,0.6605,0.6848,0.598,2024-12-02,2024-12-08
2024-12-09/2024-12-15,0.2075,6642,0.5196,0.704,0.2907,2024-12-09,2024-12-15
2024-12-16/2024-12-22,-0.0052,18228,0.5462,0.7144,-0.0006,2024-12-16,2024-12-22
2024-12-23/2024-12-29,0.0547,4569,0.4849,0.6172,0.1026,2024-12-23,2024-12-29
2024-12-30/2025-01-05,0.2352,1891,0.5876,0.6749,0.3125,2024-12-30,2025-01-05
2025-01-06/2025-01-12,0.1358,1981,0.42,0.7259,0.2246,2025-01-06,2025-01-11
2025-01-13/2025-01-19,-0.1804,3697,0.8285,0.5718,-0.2521,2025-01-13,2025-01-18
2025-01-20/2025-01-26,0.3709,279,0.2305,0.4176,0.2401,2025-01-20,2025-01-26
2025-01-27/2025-02-02,0.2028,123,0.1862,0.461,0.2602,2025-01-27,2025-02-01
2025-02-03/2025-02-09,0.1674,1871,0.4657,0.5919,0.1785,2025-02-04,2025-02-08
2025-02-10/2025-02-16,0.0044,34,0.1294,0.4412,0.1176,2025-02-10,2025-02-16
2025-02-17/2025-02-23,0.0699,709,0.1441,0.4509,0.2257,2025-02-17,2025-02-23
2025-02-24/2025-03-02,0.4103,1494,0.5534,0.5724,0.4806,2025-02-24,2025-03-01
2025-03-03/2025-03-09,-0.031,800,0.1838,0.6496,0.0112,2025-03-03,2025-03-08
2025-03-10/2025-03-16,0.1854,4490,0.4225,0.6143,0.2091,2025-03-10,2025-03-16
2025-03-17/2025-03-23,0.227,2075,0.4267,0.5547,0.3904,2025-03-17,2025-03-23
2025-03-24/2025-03-30,0.1856,4403,0.5846,0.6374,0.2285,2025-03-24,2025-03-30
2025-03-31/2025-04-06,0.3459,4861,0.675,0.7017,0.4404,2025-03-31,2025-04-06
2025-04-07/2025-04-13,-0.108,10857,0.4984,0.766,-0.138,2025-04-07,2025-04-13
2025-04-14/2025-04-20,0.4085,25494,0.8155,0.7752,0.5151,2025-04-14,2025-04-20
2025-04-21/2025-04-27,0.096,3042,0.6545,0.73,0.1394,2025-04-21,2025-04-27
2025-04-28/2025-05-04,-0.0672,51093,0.7571,0.6881,-0.0662,2025-04-28,2025-05-04
2025-05-05/2025-05-11,0.1926,7360,0.5785,0.6405,0.2845,2025-05-05,2025-05-11
2025-05-12/2025-05-18,0.0547,14231,0.462,0.7303,0.0914,2025-05-12,2025-05-18
2025-05-19/2025-05-25,0.2478,3012,0.5265,0.6336,0.3473,2025-05-19,2025-05-25
2025-05-26/2025-06-01,0.2967,660,0.6477,0.6555,0.4439,2025-05-26,2025-05-30
2025-06-02/2025-06-08,0.3195,2419,0.5425,0.6264,0.3299,2025-06-02,2025-06-08
2025-06-09/2025-06-15,0.1747,3716,0.53,0.6802,0.2715,2025-06-09,2025-06-15
2025-06-16/2025-06-22,0.0636,26280,0.4982,0.6809,0.117,2025-06-16,2025-06-21
2025-06-23/2025-06-29,0.1466,10359,0.4752,0.6843,0.2061,2025-06-23,2025-06-29
2025-06-30/2025-07-06,0.1765,829,0.5345,0.7347,0.2738,2025-06-30,2025-07-06
2025-07-07/2025-07-13,0.1712,4709,0.4409,0.692,0.2699,2025-07-07,2025-07-13
2025-07-14/2025-07-20,0.0811,3141,0.3986,0.6816,0.1289,2025-07-14,2025-07-20
2025-07-21/2025-07-27,0.1389,7773,0.5255,0.7281,0.1876,2025-07-21,2025-07-27
2025-07-28/2025-08-03,0.0861,24262,0.5888,0.7344,0.126,2025-07-28,2025-08-03
2025-08-04/2025-08-10,0.0638,75572,0.6363,0.7416,0.0807,2025-08-04,2025-08-09
2025-08-11/2025-08-17,0.25,21331,0.6833,0.7381,0.3294,2025-08-11,2025-08-17
2025-08-18/2025-08-24,0.1682,14436,0.4826,0.6376,0.2614,2025-08-18,2025-08-24
2025-08-25/2025-08-31,0.2581,41513,0.592,0.789,0.3445,2025-08-25,2025-08-31
2025-09-01/2025-09-07,0.2908,7534,0.5166,0.6892,0.2875,2025-09-01,2025-09-06
2025-09-08/2025-09-14,0.179,10459,0.531,0.7117,0.2813,2025-09-08,2025-09-14
2025-09-15/2025-09-21,0.4711,38522,0.6462,0.7733,0.6466,2025-09-15,2025-09-21
2025-09-22/2025-09-28,0.31,31792,0.5545,0.7355,0.426,2025-09-22,2025-09-28
2025-09-29/2025-10-05,0.2714,20082,0.3327,0.7473,0.4194,2025-09-29,2025-10-05
2025-10-06/2025-10-12,0.3778,5796,0.5949,0.7362,0.5254,2025-10-06,2025-10-12
