week,Final_Sentiment,Num_News,Avg_Relevance,Avg_Trustfulness,Avg_Directional,Start_Date,End_Date
2024-10-07/2024-10-13,0.0,1,0.2,0.8,0.0,2024-10-13,2024-10-13
2024-10-14/2024-10-20,0.1616,3261,0.6312,0.6425,0.2478,2024-10-18,2024-10-20
2024-10-21/2024-10-27,0.2915,29503,0.6475,0.701,0.3987,2024-10-21,2024-10-26
2024-10-28/2024-11-03,0.0079,179599,0.7203,0.6865,0.0361,2024-10-30,2024-11-03
2024-11-04/2024-11-10,0.0484,90108,0.4831,0.6914,0.0623,2024-11-04,2024-11-10
2024-11-11/2024-11-17,0.0523,57863,0.4698,0.6289,0.0556,2024-11-11,2024-11-17
2024-11-18/2024-11-24,0.1587,48215,0.5788,0.6375,0.2455,2024-11-18,2024-11-24
2024-11-25/2024-12-01,0.08,48681,0.4434,0.6326,0.0886,2024-11-25,2024-12-01
2024-12-02/2024-12-08,0.3045,96251,0.6277,0.6908,0.4365,2024-12-02,2024-12-08
2024-12-09/2024-12-15,0.1239,105794,0.4767,0.6666,0.1905,2024-12-09,2024-12-15
2024-12-16/2024-12-22,0.1502,72633,0.5135,0.6919,0.238,2024-12-16,2024-12-22
2024-12-23/2024-12-29,0.2584,20240,0.5391,0.7271,0.3797,2024-12-23,2024-12-29
2024-12-30/2025-01-05,0.1902,8618,0.4669,0.7166,0.2629,2024-12-30,2025-01-05
2025-01-06/2025-01-12,0.135,127442,0.6086,0.7192,0.1926,2025-01-06,2025-01-12
2025-01-13/2025-01-19,0.0437,20014,0.4764,0.6141,0.0625,2025-01-13,2025-01-19
2025-01-20/2025-01-26,0.1989,11899,0.5951,0.5563,0.3166,2025-01-20,2025-01-26
2025-01-27/2025-02-02,0.1407,49961,0.5347,0.5352,0.2064,2025-01-27,2025-02-02
2025-02-03/2025-02-09,0.0674,35310,0.3783,0.6212,0.1212,2025-02-03,2025-02-09
2025-02-10/2025-02-16,0.0625,8612,0.2882,0.5639,0.1046,2025-02-10,2025-02-16
2025-02-17/2025-02-23,0.0244,6608,0.3013,0.4689,0.1418,2025-02-17,2025-02-23
2025-02-24/2025-03-02,-0.0477,7353,0.2138,0.5416,-0.1126,2025-02-24,2025-03-02
2025-03-03/2025-03-09,0.0023,1377,0.3356,0.4807,0.0029,2025-03-03,2025-03-09
2025-03-10/2025-03-16,0.1256,9679,0.3806,0.6235,0.1464,2025-03-10,2025-03-16
2025-03-17/2025-03-23,0.1946,8073,0.5073,0.6147,0.2515,2025-03-17,2025-03-23
2025-03-24/2025-03-30,0.1959,89985,0.4997,0.6457,0.3049,2025-03-24,2025-03-30
2025-03-31/2025-04-06,-0.0212,77581,0.4935,0.7227,-0.0402,2025-03-31,2025-04-06
2025-04-07/2025-04-13,0.0042,27867,0.5452,0.7282,0.0095,2025-04-07,2025-04-13
2025-04-14/2025-04-20,0.0071,48224,0.7388,0.735,0.0214,2025-04-14,2025-04-20
2025-04-21/2025-04-27,0.0914,62538,0.6698,0.7238,0.1246,2025-04-21,2025-04-27
2025-04-28/2025-05-04,0.3524,631495,0.7306,0.7017,0.4665,2025-04-28,2025-05-04
2025-05-05/2025-05-11,0.2198,76849,0.491,0.6513,0.3562,2025-05-05,2025-05-11
2025-05-12/2025-05-18,0.0827,61532,0.5101,0.6421,0.1346,2025-05-12,2025-05-18
2025-05-19/2025-05-25,0.1438,30405,0.3719,0.6403,0.2231,2025-05-19,2025-05-25
2025-05-26/2025-06-01,0.1637,35109,0.4506,0.5934,0.2675,2025-05-26,2025-06-01
2025-06-02/2025-06-08,0.4089,185087,0.6734,0.7001,0.553,2025-06-02,2025-06-08
2025-06-09/2025-06-15,0.2284,82078,0.5558,0.6475,0.3207,2025-06-09,2025-06-15
2025-06-16/2025-06-22,0.3233,90540,0.6446,0.7235,0.4769,2025-06-16,2025-06-22
2025-06-23/2025-06-29,0.2215,200096,0.5958,0.7416,0.3221,2025-06-23,2025-06-29
2025-06-30/2025-07-06,0.3212,177453,0.4982,0.72,0.4528,2025-06-30,2025-07-06
2025-07-07/2025-07-13,0.2272,155980,0.5131,0.7427,0.3096,2025-07-07,2025-07-13
2025-07-14/2025-07-20,0.1496,108276,0.5472,0.6944,0.25,2025-07-14,2025-07-20
2025-07-21/2025-07-27,0.2192,283178,0.519,0.7213,0.3583,2025-07-21,2025-07-27
2025-07-28/2025-08-03,0.3172,533668,0.6759,0.7219,0.4528,2025-07-29,2025-08-03
2025-08-04/2025-08-10,0.1872,335873,0.4686,0.7142,0.314,2025-08-04,2025-08-10
2025-08-11/2025-08-17,0.1526,295779,0.3727,0.7306,0.2325,2025-08-11,2025-08-17
2025-08-18/2025-08-24,0.1358,354432,0.4742,0.7158,0.1971,2025-08-18,2025-08-24
2025-08-25/2025-08-31,0.2141,191431,0.4834,0.7375,0.3189,2025-08-25,2025-08-31
2025-09-01/2025-09-07,0.1669,81938,0.444,0.7222,0.2655,2025-09-01,2025-09-07
2025-09-08/2025-09-14,0.1615,59743,0.4632,0.7437,0.2422,2025-09-08,2025-09-14
2025-09-15/2025-09-21,0.3447,130857,0.5494,0.7193,0.4893,2025-09-15,2025-09-21
2025-09-22/2025-09-28,0.3141,98492,0.5568,0.7598,0.45,2025-09-22,2025-09-28
2025-09-29/2025-10-05,0.2448,209688,0.4574,0.737,0.3695,2025-09-29,2025-10-05
2025-10-06/2025-10-12,0.1651,109194,0.4546,0.7307,0.2506,2025-10-06,2025-10-12
