week,Final_Sentiment,Num_News,Avg_Relevance,Avg_Trustfulness,Avg_Directional,Start_Date,End_Date
2024-10-14/2024-10-20,0.506,72,0.5333,0.6889,0.8333,2024-10-19,2024-10-20
2024-10-21/2024-10-27,0.2615,30,0.8033,0.6333,0.3667,2024-10-22,2024-10-27
2024-10-28/2024-11-03,0.1047,142,0.7218,0.6099,0.1761,2024-10-28,2024-10-31
2024-11-04/2024-11-10,0.0873,95,0.6947,0.7105,0.1368,2024-11-04,2024-11-10
2024-11-11/2024-11-17,0.011,234,0.8214,0.7979,0.047,2024-11-11,2024-11-17
2024-11-18/2024-11-24,0.5042,15349,0.8756,0.7039,0.6973,2024-11-18,2024-11-24
2024-11-25/2024-12-01,0.4488,802,0.9087,0.6878,0.5885,2024-11-25,2024-12-01
2024-12-02/2024-12-08,-0.0643,142,0.7387,0.6521,-0.0704,2024-12-02,2024-12-08
2024-12-09/2024-12-15,0.2891,37,0.8703,0.7324,0.3784,2024-12-09,2024-12-15
2024-12-16/2024-12-22,0.0353,53,0.5264,0.6679,-0.1509,2024-12-16,2024-12-22
2024-12-23/2024-12-29,0.0571,5,0.8,0.62,0.2,2024-12-23,2024-12-28
2024-12-30/2025-01-05,0.2647,51,0.9255,0.8,0.3333,2024-12-30,2025-01-04
2025-01-06/2025-01-12,-0.0415,11,0.7273,0.5273,-0.1818,2025-01-06,2025-01-09
2025-01-13/2025-01-19,0.0806,10,1.0,0.31,0.2,2025-01-13,2025-01-15
2025-01-20/2025-01-26,-0.2,4,0.375,0.3,-0.25,2025-01-22,2025-01-26
2025-01-27/2025-02-02,0.0,8,1.0,0.4,0.0,2025-01-27,2025-01-27
2025-02-03/2025-02-09,0.1765,11,0.1545,0.3364,0.0909,2025-02-04,2025-02-07
2025-02-10/2025-02-16,0.06,2,0.1,0.3,0.5,2025-02-10,2025-02-12
2025-02-17/2025-02-23,0.1223,11,0.4727,0.3,0.4545,2025-02-19,2025-02-22
2025-02-24/2025-03-02,0.1199,225,0.8044,0.348,0.3244,2025-02-24,2025-02-27
2025-03-03/2025-03-09,0.284,21,0.9905,0.4476,0.4762,2025-03-03,2025-03-09
2025-03-10/2025-03-16,0.2019,71,0.7028,0.6099,0.2535,2025-03-10,2025-03-14
2025-03-17/2025-03-23,0.42,10,0.72,0.8,0.6,2025-03-18,2025-03-21
2025-03-24/2025-03-30,0.1746,37,0.4703,0.5568,-0.0811,2025-03-24,2025-03-28
2025-03-31/2025-04-06,-0.0035,136,0.7926,0.6125,0.0,2025-03-31,2025-04-06
2025-04-07/2025-04-13,0.5136,26,0.6769,0.8,0.5385,2025-04-07,2025-04-11
2025-04-14/2025-04-20,0.3209,38,0.9316,0.8,0.4211,2025-04-14,2025-04-18
2025-04-21/2025-04-27,0.5478,18,0.9444,0.8,0.6667,2025-04-21,2025-04-26
2025-04-28/2025-05-04,0.5823,19,0.9474,0.6947,0.6842,2025-04-29,2025-05-03
2025-05-05/2025-05-11,0.39,369,0.7388,0.6659,0.5772,2025-05-05,2025-05-11
2025-05-12/2025-05-18,0.373,219,0.7502,0.7954,0.4977,2025-05-13,2025-05-18
2025-05-19/2025-05-25,0.3761,20364,0.886,0.6873,0.5137,2025-05-19,2025-05-25
2025-05-26/2025-06-01,0.4608,80,0.69,0.755,0.5625,2025-05-26,2025-06-01
2025-06-02/2025-06-08,0.4625,2431,0.8418,0.6172,0.7038,2025-06-02,2025-06-08
2025-06-09/2025-06-15,0.1359,169,0.7491,0.755,0.2249,2025-06-10,2025-06-15
2025-06-16/2025-06-22,0.0818,305,0.4613,0.741,0.1344,2025-06-16,2025-06-21
2025-06-23/2025-06-29,0.2483,626,0.8204,0.6802,0.3722,2025-06-23,2025-06-28
2025-06-30/2025-07-06,0.1543,60,0.5867,0.7067,0.1167,2025-06-30,2025-07-05
2025-07-07/2025-07-13,0.4425,281,0.4381,0.6883,0.5018,2025-07-07,2025-07-12
2025-07-14/2025-07-20,0.1104,161,0.5634,0.772,0.1553,2025-07-15,2025-07-18
2025-07-21/2025-07-27,0.4618,409,0.7355,0.7682,0.6381,2025-07-21,2025-07-27
2025-07-28/2025-08-03,0.3836,448,0.6188,0.7219,0.4643,2025-07-28,2025-08-02
2025-08-04/2025-08-10,0.305,97,0.6247,0.733,0.3196,2025-08-04,2025-08-08
2025-08-11/2025-08-17,0.4234,196,0.5036,0.777,0.5612,2025-08-11,2025-08-16
2025-08-18/2025-08-24,0.1984,1288,0.6218,0.6676,0.2205,2025-08-18,2025-08-24
2025-08-25/2025-08-31,0.3636,28097,0.7173,0.7458,0.5028,2025-08-25,2025-08-31
2025-09-01/2025-09-07,0.2544,854,0.616,0.7479,0.363,2025-09-01,2025-09-06
2025-09-08/2025-09-14,0.0883,1766,0.6324,0.7703,0.1376,2025-09-08,2025-09-13
2025-09-15/2025-09-21,0.404,441,0.6193,0.7138,0.6281,2025-09-15,2025-09-21
2025-09-22/2025-09-28,0.2113,917,0.6219,0.7815,0.3064,2025-09-22,2025-09-27
2025-09-29/2025-10-05,0.5266,6211,0.6238,0.8,0.7182,2025-09-29,2025-10-05
2025-10-06/2025-10-12,0.3198,435,0.6366,0.7586,0.4414,2025-10-07,2025-10-11
