week,Final_Sentiment,Num_News,Avg_Relevance,Avg_Trustfulness,Avg_Directional,Start_Date,End_Date
2024-10-14/2024-10-20,-0.0535,20710,0.7779,0.685,-0.0801,2024-10-18,2024-10-20
2024-10-21/2024-10-27,0.0825,116300,0.7894,0.6167,0.1313,2024-10-23,2024-10-27
2024-10-28/2024-11-03,-0.0702,70022,0.6325,0.7276,-0.0915,2024-10-28,2024-11-03
2024-11-04/2024-11-10,0.0768,280981,0.561,0.7258,0.1031,2024-11-04,2024-11-10
2024-11-11/2024-11-17,0.0179,312203,0.5683,0.7122,0.0151,2024-11-11,2024-11-17
2024-11-18/2024-11-24,0.1258,208348,0.6051,0.745,0.1615,2024-11-18,2024-11-24
2024-11-25/2024-12-01,-0.0283,42483,0.4493,0.7165,-0.0241,2024-11-25,2024-12-01
2024-12-02/2024-12-08,-0.0302,174962,0.607,0.755,-0.019,2024-12-02,2024-12-08
2024-12-09/2024-12-15,0.2051,213165,0.6523,0.7235,0.2806,2024-12-09,2024-12-15
2024-12-16/2024-12-22,0.0196,202936,0.5521,0.7154,0.0472,2024-12-16,2024-12-22
2024-12-23/2024-12-29,-0.0252,114152,0.5894,0.7319,-0.0357,2024-12-23,2024-12-29
2024-12-30/2025-01-05,-0.0027,162212,0.6699,0.683,-0.0114,2024-12-30,2025-01-05
2025-01-06/2025-01-12,-0.0174,166133,0.5673,0.6908,-0.0286,2025-01-06,2025-01-11
2025-01-13/2025-01-19,-0.1577,19511,0.3898,0.6409,-0.1742,2025-01-13,2025-01-19
2025-01-20/2025-01-26,-0.1409,19276,0.4979,0.6525,-0.1677,2025-01-20,2025-01-26
2025-01-27/2025-02-02,-0.0702,45792,0.752,0.467,-0.1184,2025-01-27,2025-02-02
2025-02-03/2025-02-09,-0.1446,62854,0.463,0.651,-0.1692,2025-02-03,2025-02-09
2025-02-10/2025-02-16,-0.2751,22679,0.4694,0.7013,-0.3371,2025-02-10,2025-02-16
2025-02-17/2025-02-23,0.0175,44857,0.4705,0.6571,0.0074,2025-02-17,2025-02-23
2025-02-24/2025-03-02,-0.19,48398,0.4154,0.6337,-0.2533,2025-02-24,2025-03-02
2025-03-03/2025-03-09,-0.2201,37990,0.4987,0.6214,-0.3048,2025-03-03,2025-03-09
2025-03-10/2025-03-16,-0.0164,209763,0.4678,0.6282,-0.0248,2025-03-10,2025-03-16
2025-03-17/2025-03-23,-0.1648,132334,0.5921,0.6062,-0.2438,2025-03-17,2025-03-23
2025-03-24/2025-03-30,-0.1169,905224,0.5215,0.7235,-0.1578,2025-03-26,2025-03-30
2025-03-31/2025-04-06,-0.1888,718444,0.6433,0.7223,-0.2735,2025-04-02,2025-04-06
2025-04-07/2025-04-13,-0.0717,314714,0.6378,0.7272,-0.0875,2025-04-07,2025-04-13
2025-04-14/2025-04-20,-0.1095,122626,0.6323,0.773,-0.1459,2025-04-14,2025-04-19
2025-04-21/2025-04-27,-0.011,565057,0.7103,0.718,0.0016,2025-04-23,2025-04-27
2025-04-28/2025-05-04,-0.0355,436797,0.667,0.689,-0.0499,2025-04-28,2025-05-04
2025-05-05/2025-05-11,-0.0927,160534,0.5629,0.6689,-0.1458,2025-05-05,2025-05-11
2025-05-12/2025-05-18,0.0672,194686,0.5142,0.7256,0.0905,2025-05-12,2025-05-18
2025-05-19/2025-05-25,0.0384,199637,0.6314,0.7088,0.0506,2025-05-19,2025-05-25
2025-05-26/2025-06-01,-0.0204,310814,0.7449,0.7025,-0.0316,2025-05-27,2025-06-01
2025-06-02/2025-06-08,-0.1886,1953631,0.7705,0.6766,-0.2657,2025-06-05,2025-06-08
2025-06-09/2025-06-15,0.0633,430959,0.6722,0.7003,0.0788,2025-06-10,2025-06-15
2025-06-16/2025-06-22,0.0989,157274,0.6413,0.7541,0.1179,2025-06-16,2025-06-22
2025-06-23/2025-06-29,0.0004,258802,0.6161,0.709,0.0177,2025-06-24,2025-06-29
2025-06-30/2025-07-06,0.0014,693216,0.578,0.6375,0.0005,2025-07-01,2025-07-06
2025-07-07/2025-07-13,0.0109,253567,0.64,0.7016,0.0186,2025-07-07,2025-07-13
2025-07-14/2025-07-20,0.0647,145836,0.6295,0.6942,0.0867,2025-07-14,2025-07-20
2025-07-21/2025-07-27,-0.0016,390133,0.643,0.6983,0.0069,2025-07-22,2025-07-27
2025-07-28/2025-08-03,0.0383,186639,0.5588,0.7328,0.0473,2025-07-28,2025-08-03
2025-08-04/2025-08-10,-0.0761,266970,0.5966,0.7332,-0.1028,2025-08-04,2025-08-10
2025-08-11/2025-08-17,0.1093,156589,0.5548,0.7673,0.1534,2025-08-11,2025-08-17
2025-08-18/2025-08-24,-0.0689,176098,0.5916,0.7639,-0.0945,2025-08-18,2025-08-24
2025-08-25/2025-08-31,0.0987,80455,0.5042,0.7664,0.1583,2025-08-25,2025-08-31
2025-09-01/2025-09-07,0.0192,82494,0.5994,0.7576,0.0196,2025-09-01,2025-09-06
2025-09-08/2025-09-14,0.2402,72540,0.6178,0.7546,0.3128,2025-09-08,2025-09-14
2025-09-15/2025-09-21,0.177,330022,0.5468,0.7497,0.2481,2025-09-15,2025-09-21
2025-09-22/2025-09-28,0.0293,134223,0.525,0.7573,0.0495,2025-09-22,2025-09-28
2025-09-29/2025-10-05,0.1142,221553,0.6574,0.7603,0.1485,2025-09-29,2025-10-05
2025-10-06/2025-10-12,0.139,388691,0.5787,0.7421,0.1904,2025-10-06,2025-10-12
